trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n1206,n1229,0,car
t1,n580,n82,0,car
t2,n845,n445,1,car
t3,n951,n712,1,car
t4,n1227,n516,2,car
t5,n180,n935,2,car
t6,n54,n985,2,car
t7,n1124,n248,4,car
t8,n933,n1295,5,car
t9,n306,n85,5,car
t10,n375,n1209,6,car
t11,n683,n1015,8,car
t12,n1222,n918,11,car
t13,n791,n124,11,car
t14,n692,n544,12,car
t15,n737,n552,12,car
t16,n82,n630,13,car
t17,n299,n827,14,car
t18,n42,n573,15,car
t19,n1133,n599,16,car
t20,n700,n421,18,car
t21,n427,n841,18,car
t22,n1267,n542,20,car
t23,n1096,n773,20,car
t24,n1055,n1326,21,car
t25,n1212,n1285,22,car
t26,n901,n131,23,car
t27,n62,n60,26,car
t28,n1239,n887,26,car
t29,n387,n967,26,car
t30,n1041,n437,28,car
t31,n1045,n618,28,car
t32,n511,n319,28,car
t33,n1170,n277,28,car
t34,n1297,n928,28,car
t35,n818,n425,29,car
t36,n1210,n61,29,car
t37,n246,n659,30,car
t38,n575,n1088,30,car
t39,n533,n349,30,car
t40,n1274,n492,31,car
t41,n127,n435,31,car
t42,n93,n1152,32,car
t43,n748,n1079,32,car
t44,n815,n87,34,car
t45,n11,n71,34,car
t46,n528,n111,35,car
t47,n463,n358,37,car
t48,n1138,n356,37,car
t49,n314,n233,38,car
t50,n546,n325,38,car
t51,n902,n223,38,car
t52,n210,n28,39,car
t53,n743,n1169,41,car
t54,n639,n834,42,car
t55,n832,n248,43,car
t56,n1013,n1031,43,car
t57,n430,n647,44,car
t58,n583,n644,45,car
t59,n351,n345,47,car
t60,n764,n232,47,car
t61,n490,n1002,48,car
t62,n1277,n882,49,car
t63,n540,n240,49,car
t64,n141,n129,50,car
t65,n1096,n1326,50,car
t66,n322,n172,50,car
t67,n351,n827,51,car
t68,n362,n468,53,car
t69,n32,n761,54,car
t70,n188,n1275,54,car
t71,n1141,n658,56,car
t72,n552,n571,56,car
t73,n255,n382,58,car
t74,n743,n16,58,car
t75,n536,n146,59,car
t76,n927,n1324,60,car
t77,n935,n918,61,car
t78,n291,n498,61,car
t79,n822,n350,61,car
t80,n950,n857,64,car
t81,n795,n257,64,car
t82,n893,n1119,65,car
t83,n947,n129,67,car
t84,n691,n692,68,car
t85,n383,n658,69,car
t86,n942,n631,69,car
