trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n6478,n35789,0,car
t1,n37972,n1282,0,car
t2,n21422,n28712,0,car
t3,n105,n40375,0,car
t4,n42693,n542,0,car
t5,n42764,n43946,0,car
t6,n10406,n27782,0,car
t7,n19701,n20106,0,car
t8,n13595,n3284,0,car
t9,n22453,n7975,0,car
t10,n17407,n16905,0,car
t11,n34929,n30227,1,car
t12,n15120,n8557,1,car
t13,n30963,n41623,1,car
t14,n36574,n40679,1,car
t15,n16665,n16407,1,car
t16,n26490,n32935,1,car
t17,n12651,n14892,1,car
t18,n11637,n35253,1,car
t19,n23367,n12134,1,car
t20,n4811,n21793,2,car
t21,n18342,n31007,2,car
t22,n6190,n14980,2,car
t23,n31461,n36762,2,car
t24,n13094,n14845,2,car
t25,n6742,n18990,2,car
t26,n24711,n21321,2,car
t27,n33562,n25881,2,car
t28,n13203,n3321,2,car
t29,n6843,n19565,2,car
t30,n1128,n952,2,car
t31,n44733,n44169,2,car
t32,n22964,n29654,2,car
t33,n27151,n2545,2,car
t34,n37345,n37365,2,car
t35,n40267,n339,2,car
t36,n1621,n4164,3,car
t37,n36589,n44597,3,car
t38,n3071,n28326,3,car
t39,n31756,n39013,3,car
t40,n14732,n33405,3,car
t41,n16806,n21158,3,car
t42,n35057,n15276,3,car
t43,n6440,n12551,3,car
t44,n3437,n21433,3,car
t45,n30683,n15228,3,car
t46,n17141,n28824,3,car
t47,n21240,n19492,3,car
t48,n6739,n30624,3,car
t49,n21956,n14709,3,car
t50,n42617,n31996,3,car
t51,n4330,n39741,3,car
t52,n15297,n9294,3,car
t53,n4674,n9290,3,car
t54,n1210,n33454,3,car
t55,n19831,n13226,4,car
t56,n11422,n20446,4,car
t57,n19852,n2251,4,car
t58,n7477,n13927,4,car
t59,n39184,n37493,4,car
t60,n24155,n5495,4,car
t61,n12080,n21564,4,car
t62,n17826,n32800,4,car
t63,n25873,n7079,4,car
t64,n39692,n13153,4,car
t65,n30931,n36881,4,car
t66,n20738,n15034,4,car
t67,n4232,n38384,4,car
t68,n26087,n21757,4,car
t69,n38932,n9572,5,car
t70,n9515,n5416,5,car
t71,n31051,n38469,5,car
t72,n10535,n7404,5,car
t73,n32505,n23423,5,car
t74,n43063,n38497,5,car
t75,n17582,n13397,5,car
t76,n27649,n28266,5,car
t77,n9279,n35096,5,car
t78,n42946,n44170,5,car
t79,n8997,n20374,5,car
t80,n31939,n37850,5,car
t81,n40278,n32598,5,car
t82,n10815,n14619,5,car
t83,n38214,n6060,5,car
t84,n28070,n25155,5,car
t85,n41164,n27981,5,car
t86,n19757,n37851,6,car
t87,n39179,n20138,6,car
t88,n41230,n14171,6,car
t89,n38652,n29525,6,car
t90,n19136,n34783,6,car
t91,n16382,n29652,6,car
t92,n24378,n34419,6,car
t93,n25550,n14482,6,car
t94,n31929,n17689,6,car
t95,n6475,n17336,6,car
t96,n35751,n40383,6,car
t97,n34352,n20309,6,car
t98,n3565,n15684,7,car
t99,n10785,n15629,7,car
t100,n42278,n38330,7,car
t101,n17910,n36062,7,car
t102,n27581,n15876,7,car
t103,n2039,n6030,7,car
t104,n23233,n23170,7,car
t105,n20679,n26513,7,car
t106,n4301,n18762,7,car
t107,n8183,n21629,8,car
t108,n24411,n26295,8,car
t109,n17809,n28903,8,car
t110,n27642,n4209,8,car
t111,n5254,n37427,8,car
t112,n17379,n36145,8,car
t113,n5864,n3915,8,car
t114,n7773,n20906,8,car
t115,n28941,n28460,9,car
t116,n14840,n2187,9,car
t117,n10382,n17300,9,car
t118,n26695,n36621,9,car
t119,n37148,n30745,9,car
t120,n21329,n35517,9,car
t121,n26068,n37553,9,car
t122,n41059,n25924,9,car
t123,n35045,n41642,9,car
t124,n35656,n17996,10,car
t125,n38071,n33513,10,car
t126,n24791,n24041,10,car
t127,n40477,n29609,10,car
t128,n30425,n10359,10,car
t129,n29818,n15662,10,car
t130,n10129,n3861,10,car
t131,n40805,n33233,10,car
t132,n10722,n8108,10,car
t133,n2956,n18122,10,car
t134,n39032,n27547,10,car
t135,n8172,n4324,10,car
t136,n43337,n9039,11,car
t137,n3963,n28432,11,car
t138,n19271,n901,11,car
t139,n34052,n7743,11,car
t140,n1415,n18096,11,car
