trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n6745,n37555,0,car
t1,n34327,n15497,0,car
t2,n19822,n22153,0,car
t3,n10429,n31682,0,car
t4,n38815,n39711,0,car
t5,n38892,n6019,0,car
t6,n10352,n24332,0,car
t7,n18356,n23777,0,car
t8,n13130,n26224,0,car
t9,n20684,n5456,0,car
t10,n16414,n16265,0,car
t11,n31624,n29331,1,car
t12,n1444,n8538,1,car
t13,n28042,n4761,1,car
t14,n32943,n4567,1,car
t15,n15784,n15858,1,car
t16,n24076,n35564,1,car
t17,n12301,n12318,1,car
t18,n11444,n21289,1,car
t19,n21368,n11857,1,car
t20,n5169,n28562,2,car
t21,n17200,n23815,2,car
t22,n6476,n204,2,car
t23,n28528,n3616,2,car
t24,n12680,n16824,2,car
t25,n699,n18456,2,car
t26,n22521,n13989,2,car
t27,n30512,n22255,2,car
t28,n12783,n31779,2,car
t29,n7086,n24176,2,car
t30,n1113,n943,2,car
t31,n475,n6049,2,car
t32,n21065,n23101,2,car
t33,n24601,n21845,2,car
t34,n33697,n310,2,car
t35,n36455,n3183,2,car
t36,n15394,n5405,3,car
t37,n32957,n6747,3,car
t38,n278,n2881,3,car
t39,n28820,n5925,3,car
t40,n1409,n36057,3,car
t41,n15894,n17858,3,car
t42,n31739,n16993,3,car
t43,n6707,n12809,3,car
t44,n31163,n2615,3,car
t45,n27773,n1595,3,car
t46,n16176,n32599,3,car
t47,n19674,n16130,3,car
t48,n6984,n32538,3,car
t49,n20262,n16681,3,car
t50,n3873,n24644,3,car
t51,n39453,n38590,3,car
t52,n14597,n8356,3,car
t53,n5037,n873,3,car
t54,n1184,n2183,3,car
t55,n18474,n11602,4,car
t56,n11254,n22948,4,car
t57,n18492,n30430,4,car
t58,n7654,n155,4,car
t59,n35419,n26990,4,car
t60,n21979,n5483,4,car
t61,n11822,n2144,4,car
t62,n16768,n3393,4,car
t63,n23556,n37160,4,car
t64,n35889,n14775,4,car
t65,n28015,n21643,4,car
t66,n19237,n12159,4,car
t67,n38426,n34401,4,car
t68,n23746,n21151,4,car
t69,n35169,n9256,5,car
t70,n9559,n5134,5,car
t71,n28131,n26698,5,car
t72,n10461,n6101,5,car
t73,n29563,n18831,5,car
t74,n39191,n32518,5,car
t75,n16556,n12771,5,car
t76,n25045,n23208,5,car
t77,n934,n36642,5,car
t78,n39069,n7079,5,car
t79,n9081,n28185,5,car
t80,n29027,n29025,5,car
t81,n3647,n3050,5,car
t82,n10710,n1634,5,car
t83,n34560,n9826,5,car
t84,n25414,n30190,5,car
t85,n37311,n2906,5,car
t86,n18406,n32103,6,car
t87,n35414,n16551,6,car
t88,n37378,n15886,6,car
t89,n34931,n38747,6,car
t90,n17874,n37495,6,car
t91,n15545,n23645,6,car
t92,n22189,n34137,6,car
t93,n23286,n13959,6,car
t94,n29019,n12278,6,car
t95,n6742,n17042,6,car
t96,n32262,n36530,6,car
t97,n31148,n213,6,car
t98,n32185,n16810,7,car
t99,n10684,n1870,7,car
t100,n38393,n37210,7,car
t101,n16841,n3494,7,car
t102,n24987,n18989,7,car
t103,n18945,n5985,7,car
t104,n21260,n29436,7,car
t105,n1919,n2881,7,car
t106,n39136,n23268,7,car
t107,n8316,n19691,8,car
t108,n22214,n26188,8,car
t109,n16751,n30466,8,car
t110,n25040,n4373,8,car
t111,n5581,n3635,8,car
t112,n16393,n26396,8,car
t113,n617,n39401,8,car
t114,n7922,n25442,8,car
t115,n26215,n30289,9,car
t116,n1418,n27573,9,car
t117,n10329,n13171,9,car
t118,n24240,n32349,9,car
t119,n33491,n25082,9,car
t120,n19745,n33154,9,car
t121,n2373,n39046,9,car
t122,n37214,n18988,9,car
t123,n31728,n6019,9,car
t124,n3219,n19132,10,car
t125,n34422,n23020,10,car
t126,n22601,n13202,10,car
t127,n3667,n33912,10,car
t128,n27551,n13106,10,car
t129,n27005,n14854,10,car
t130,n10112,n36050,10,car
t131,n36987,n33167,10,car
t132,n10626,n7605,10,car
t133,n26778,n20386,10,car
t134,n35274,n16996,10,car
t135,n8307,n35963,10,car
t136,n39491,n9447,11,car
t137,n35830,n23906,11,car
t138,n17983,n9160,11,car
t139,n30909,n8095,11,car
t140,n13597,n18910,11,car
t141,n20803,n20980,11,car
t142,n36970,n1710,11,car
t143,n15871,n8879,11,car
t144,n38952,n34759,11,car
t145,n26281,n14732,11,car
t146,n16902,n23429,11,car
t147,n6629,n34755,11,car
t148,n11301,n33821,11,car
t149,n24344,n17190,12,car
t150,n35954,n1781,12,car
t151,n32041,n35935,12,car
t152,n4468,n28249,12,car
t153,n8402,n28241,12,car
t154,n23436,n14188,12,car
t155,n4306,n11658,12,car
t156,n6232,n23299,12,car
t157,n4657,n5467,12,car
t158,n4103,n31712,12,car
t159,n7759,n34746,12,car
t160,n33011,n17569,12,car
t161,n5935,n16300,12,car
t162,n23080,n8331,12,car
t163,n14809,n19684,12,car
t164,n25151,n12389,12,car
t165,n13749,n33313,12,car
