trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n1465,n2119,0,car
t1,n1347,n1374,0,car
t2,n1577,n949,0,car
t3,n598,n1650,0,car
t4,n727,n856,0,car
t5,n1567,n212,0,car
t6,n2208,n108,0,car
t7,n884,n1535,0,car
t8,n645,n590,0,car
t9,n2246,n1943,0,car
t10,n162,n1639,0,car
t11,n1908,n1841,0,car
t12,n811,n1276,0,car
t13,n1763,n1603,0,car
t14,n580,n535,0,car
t15,n956,n1492,0,car
t16,n145,n571,0,car
t17,n92,n799,0,car
t18,n858,n1457,0,car
t19,n528,n789,0,car
t20,n354,n1535,0,car
t21,n468,n1022,0,car
t22,n1143,n691,0,car
t23,n504,n792,0,car
t24,n178,n459,0,car
t25,n1565,n219,0,car
t26,n2195,n39,0,car
t27,n2165,n1037,0,car
t28,n1014,n1110,0,car
t29,n1869,n576,0,car
t30,n59,n337,0,car
t31,n931,n1378,0,car
t32,n420,n713,0,car
t33,n322,n1634,31,car
t34,n1255,n682,32,car
t35,n656,n1630,43,car
t36,n2021,n2057,48,car
t37,n1721,n1814,51,car
t38,n315,n1226,57,car
t39,n236,n453,59,car
t40,n554,n1909,60,car
t41,n1808,n2254,63,car
t42,n214,n25,71,car
t43,n1757,n436,77,car
t44,n870,n2255,87,car
t45,n510,n420,88,car
t46,n140,n908,91,car
t47,n1110,n1854,95,car
t48,n840,n1948,103,car
t49,n1161,n1182,107,car
t50,n835,n1602,107,car
t51,n468,n1276,108,car
t52,n928,n1827,115,car
t53,n644,n1616,116,car
t54,n1389,n1192,118,car
t55,n870,n1482,119,car
t56,n440,n1193,119,car
t57,n1578,n1960,123,car
t58,n917,n225,126,car
t59,n595,n1678,133,car
t60,n1062,n2105,133,car
t61,n2249,n1060,144,car
t62,n288,n832,156,car
t63,n121,n890,158,car
t64,n680,n685,159,car
t65,n187,n892,160,car
t66,n2071,n504,160,car
t67,n1014,n2075,168,car
t68,n63,n919,169,car
t69,n1846,n810,176,car
t70,n1457,n411,191,car
t71,n1479,n1990,200,car
t72,n1740,n1239,200,car
t73,n2097,n432,200,car
t74,n1466,n23,207,car
t75,n965,n579,208,car
t76,n615,n844,215,car
t77,n186,n1036,216,car
t78,n840,n1442,222,car
t79,n1381,n1953,224,car
t80,n553,n334,228,car
t81,n129,n2017,228,car
t82,n1466,n1193,231,car
t83,n1853,n390,236,car
t84,n1356,n2135,244,car
t85,n879,n1800,245,car
t86,n388,n1460,247,car
t87,n968,n1692,249,car
t88,n1373,n1238,251,car
t89,n1880,n1730,256,car
t90,n1582,n1533,259,car
t91,n632,n682,260,car
t92,n2207,n70,263,car
t93,n970,n2258,265,car
t94,n548,n1783,266,car
t95,n1180,n2200,267,car
t96,n63,n2212,267,car
t97,n408,n1721,268,car
t98,n617,n11,272,car
t99,n1535,n830,273,car
t100,n883,n565,274,car
t101,n1813,n751,275,car
t102,n1233,n1633,277,car
t103,n2097,n224,286,car
t104,n732,n24,289,car
t105,n188,n1425,290,car
t106,n1163,n1525,295,car
t107,n448,n1928,296,car
t108,n646,n472,298,car
t109,n1876,n2235,301,car
t110,n1539,n2152,304,car
t111,n801,n993,305,car
t112,n1170,n1937,307,car
t113,n222,n282,309,car
t114,n1534,n375,309,car
t115,n1029,n897,310,car
t116,n1567,n1884,311,car
t117,n1180,n1283,312,car
t118,n52,n879,314,car
t119,n2256,n517,314,car
t120,n1036,n1005,315,car
t121,n1062,n1519,315,car
t122,n178,n158,318,car
t123,n177,n531,320,car
t124,n408,n2098,321,car
t125,n121,n714,323,car
t126,n1238,n2014,324,car
t127,n258,n1684,324,car
t128,n300,n606,325,car
t129,n1813,n383,327,car
t130,n617,n1310,327,car
t131,n305,n2240,328,car
t132,n296,n988,328,car
t133,n224,n1059,328,car
t134,n1163,n708,330,car
t135,n1305,n528,331,car
t136,n502,n28,336,car
t137,n811,n2032,336,car
t138,n145,n194,339,car
t139,n919,n343,339,car
t140,n865,n544,340,car
t141,n1161,n1408,340,car
t142,n158,n2196,341,car
t143,n52,n191,345,car
t144,n1901,n948,345,car
t145,n328,n2217,346,car
t146,n1856,n1947,350,car
t147,n1458,n441,353,car
t148,n51,n764,354,car
t149,n970,n1029,355,car
t150,n662,n1474,359,car
t151,n596,n1138,363,car
t152,n522,n225,366,car
t153,n278,n1052,368,car
t154,n708,n456,372,car
t155,n595,n532,372,car
t156,n507,n1052,374,car
t157,n799,n2110,374,car
t158,n1112,n645,375,car
t159,n61,n531,377,car
t160,n251,n426,378,car
t161,n381,n563,378,car
t162,n1524,n1677,378,car
t163,n1850,n1353,380,car
t164,n879,n1723,380,car
t165,n675,n1658,380,car
t166,n1734,n809,381,car
t167,n1842,n1008,383,car
t168,n537,n721,383,car
t169,n2155,n356,384,car
t170,n909,n594,385,car
t171,n1969,n1338,386,car
t172,n1012,n1658,390,car
t173,n224,n2038,392,car
t174,n2131,n1662,392,car
t175,n288,n102,393,car
t176,n1686,n419,394,car
t177,n969,n329,395,car
t178,n1171,n555,396,car
t179,n1272,n690,396,car
t180,n1258,n1134,397,car
t181,n956,n1637,399,car
t182,n1793,n1699,400,car
t183,n314,n1804,401,car
t184,n1169,n807,401,car
t185,n1737,n2236,402,car
t186,n422,n545,402,car
t187,n606,n1175,405,car
t188,n152,n1829,406,car
t189,n656,n896,408,car
t190,n744,n733,417,car
t191,n1184,n280,419,car
t192,n595,n231,419,car
t193,n598,n704,420,car
t194,n488,n840,421,car
t195,n884,n1698,422,car
t196,n2213,n2036,424,car
t197,n1269,n2017,424,car
t198,n1972,n1889,425,car
t199,n507,n1944,425,car
t200,n1389,n2171,428,car
t201,n1773,n541,430,car
t202,n265,n385,431,car
t203,n280,n668,434,car
t204,n1808,n1518,435,car
t205,n61,n453,435,car
t206,n255,n884,439,car
t207,n1161,n438,439,car
t208,n956,n1371,440,car
t209,n234,n170,443,car
t210,n1757,n1237,445,car
t211,n1163,n909,446,car
t212,n945,n791,447,car
t213,n1639,n208,447,car
t214,n1838,n817,449,car
t215,n1849,n1240,450,car
t216,n1459,n919,450,car
t217,n1869,n1132,450,car
t218,n634,n1169,450,car
t219,n1591,n664,451,car
t220,n702,n113,452,car
t221,n443,n962,455,car
t222,n63,n236,456,car
t223,n1860,n641,457,car
t224,n727,n1314,458,car
t225,n508,n208,459,car
t226,n238,n1697,460,car
t227,n1479,n922,460,car
t228,n595,n256,461,car
t229,n1434,n30,463,car
t230,n968,n295,464,car
t231,n162,n1568,464,car
t232,n1532,n2173,465,car
t233,n388,n248,466,car
t234,n690,n1152,467,car
t235,n1001,n1204,468,car
t236,n1066,n917,468,car
t237,n522,n1173,468,car
t238,n496,n1221,469,car
t239,n2208,n75,470,car
t240,n537,n1301,470,car
t241,n596,n1768,474,car
t242,n1462,n1101,475,car
t243,n1322,n2098,476,car
t244,n49,n390,476,car
t245,n359,n1380,477,car
t246,n56,n471,480,car
t247,n255,n146,482,car
t248,n328,n1170,483,car
t249,n1258,n1887,483,car
t250,n1457,n1616,484,car
t251,n432,n1991,484,car
t252,n1277,n1182,487,car
t253,n1537,n1014,488,car
t254,n1093,n1180,489,car
t255,n256,n474,490,car
t256,n414,n1448,490,car
t257,n1459,n697,491,car
t258,n545,n806,492,car
t259,n255,n244,493,car
t260,n1160,n374,494,car
t261,n554,n1118,494,car
t262,n190,n1202,496,car
t263,n1357,n672,497,car
t264,n148,n863,498,car
t265,n697,n1466,500,car
t266,n1398,n715,501,car
t267,n1036,n927,501,car
t268,n675,n1331,502,car
t269,n837,n1192,502,car
t270,n1451,n1986,502,car
t271,n591,n853,504,car
t272,n216,n1036,504,car
t273,n2249,n604,506,car
t274,n422,n1303,506,car
t275,n727,n1483,510,car
t276,n1459,n2025,511,car
t277,n318,n1698,511,car
t278,n1773,n658,514,car
t279,n1204,n256,514,car
t280,n2247,n108,515,car
t281,n1457,n839,517,car
t282,n1850,n1326,518,car
t283,n598,n1696,518,car
t284,n1065,n1146,519,car
t285,n2210,n1724,519,car
t286,n598,n1809,521,car
t287,n1489,n1782,521,car
t288,n1014,n757,522,car
t289,n55,n1139,523,car
t290,n451,n145,524,car
t291,n408,n1405,526,car
t292,n2097,n1813,527,car
t293,n504,n555,528,car
t294,n1163,n239,529,car
t295,n919,n1352,531,car
t296,n162,n1512,532,car
t297,n280,n2044,532,car
t298,n61,n954,532,car
t299,n1687,n631,534,car
t300,n1686,n139,535,car
t301,n1615,n1445,536,car
t302,n205,n2229,537,car
t303,n835,n573,537,car
t304,n2210,n1178,538,car
t305,n1850,n1809,538,car
t306,n509,n530,538,car
t307,n245,n1863,539,car
t308,n1285,n125,541,car
t309,n891,n966,541,car
t310,n1177,n847,542,car
t311,n412,n488,543,car
t312,n1596,n165,546,car
t313,n727,n344,546,car
t314,n1778,n202,546,car
t315,n945,n574,547,car
t316,n650,n1310,548,car
t317,n701,n1842,548,car
t318,n979,n1130,550,car
t319,n945,n37,552,car
t320,n91,n611,552,car
t321,n971,n645,552,car
t322,n901,n2257,552,car
t323,n657,n1205,552,car
t324,n1724,n1667,554,car
t325,n32,n1749,555,car
t326,n920,n414,555,car
t327,n2246,n1471,555,car
t328,n650,n1796,556,car
t329,n2166,n839,557,car
t330,n372,n1160,558,car
t331,n322,n368,558,car
t332,n1053,n8,559,car
t333,n1614,n415,559,car
t334,n637,n103,560,car
t335,n1808,n1308,560,car
t336,n92,n1674,561,car
t337,n62,n605,561,car
t338,n509,n1623,563,car
t339,n507,n2180,564,car
t340,n224,n1111,564,car
t341,n121,n1819,564,car
t342,n61,n1470,565,car
t343,n504,n816,565,car
t344,n477,n1866,565,car
t345,n306,n1265,566,car
t346,n727,n1411,566,car
t347,n1812,n1703,568,car
t348,n1765,n1306,569,car
t349,n957,n924,570,car
t350,n187,n1036,570,car
t351,n1334,n281,571,car
t352,n509,n494,573,car
t353,n777,n817,576,car
t354,n487,n151,576,car
t355,n1765,n1337,576,car
t356,n305,n1991,577,car
t357,n1014,n2088,577,car
t358,n2255,n736,578,car
t359,n1238,n490,580,car
t360,n922,n2204,581,car
t361,n549,n163,581,car
t362,n595,n1789,582,car
t363,n1343,n686,582,car
t364,n2255,n611,583,car
t365,n920,n820,583,car
t366,n1587,n955,584,car
t367,n2017,n1094,584,car
t368,n148,n1694,585,car
t369,n1537,n2164,586,car
t370,n2162,n1651,587,car
t371,n553,n771,587,car
t372,n1819,n754,588,car
t373,n1731,n2258,588,car
t374,n1233,n571,588,car
t375,n1192,n94,589,car
t376,n460,n1177,589,car
t377,n504,n673,590,car
t378,n598,n533,591,car
t379,n56,n1301,592,car
t380,n1537,n1341,592,car
t381,n1387,n1162,592,car
t382,n870,n240,593,car
t383,n602,n168,593,car
t384,n1459,n2028,594,car
t385,n696,n1373,594,car
t386,n2165,n2152,595,car
t387,n1017,n1610,596,car
t388,n928,n1399,598,car
t389,n918,n1629,598,car
t390,n724,n1349,599,car
t391,n215,n127,599,car
t392,n459,n1866,599,car
t393,n744,n643,601,car
t394,n658,n671,603,car
t395,n443,n1,604,car
t396,n1849,n527,606,car
t397,n1465,n1467,607,car
t398,n919,n1404,607,car
t399,n1465,n461,608,car
t400,n315,n2199,608,car
t401,n1283,n788,609,car
t402,n509,n2070,609,car
t403,n923,n367,610,car
t404,n559,n385,610,car
t405,n452,n2239,611,car
t406,n1356,n804,611,car
t407,n810,n1314,611,car
t408,n970,n1179,611,car
t409,n143,n189,611,car
t410,n1269,n543,612,car
t411,n1399,n183,612,car
t412,n94,n1190,612,car
t413,n1849,n1251,613,car
t414,n1434,n1074,613,car
t415,n36,n1986,613,car
t416,n1357,n470,613,car
t417,n1062,n490,614,car
t418,n1052,n914,614,car
t419,n63,n1792,616,car
t420,n1064,n1476,616,car
t421,n622,n1529,616,car
t422,n1946,n1100,617,car
t423,n883,n1243,617,car
t424,n651,n585,617,car
t425,n1539,n928,619,car
t426,n1458,n1213,620,car
t427,n54,n1172,623,car
t428,n945,n1879,623,car
t429,n1694,n1551,623,car
