trip_id,origin_node_id,destination_node_id,departure_time_s,mode,dest_source,purpose
t0,n10365,n16141,25200,car,gravity,HBW_AM
t1,n1060,n4190,25200,car,gravity,HBW_AM
t2,n11222,n1663,25200,car,gravity,HBW_AM
t3,n11282,n15676,25200,car,gravity,HBW_AM
t4,n11282,n2972,25200,car,gravity,HBW_AM
t5,n11444,n5527,25200,car,gravity,HBW_AM
t6,n11506,n7524,25200,car,gravity,HBW_AM
t7,n11561,n3798,25200,car,gravity,HBW_AM
t8,n11777,n1201,25200,car,gravity,HBW_AM
t9,n12065,n10796,25200,car,gravity,HBW_AM
t10,n13479,n19973,25200,car,gravity,HBW_AM
t11,n1362,n18803,25200,car,gravity,HBW_AM
t12,n1362,n543,25200,car,gravity,HBW_AM
t13,n14087,n14926,25200,car,gravity,HBW_AM
t14,n14087,n3997,25200,car,gravity,HBW_AM
t15,n14087,n6412,25200,car,gravity,HBW_AM
t16,n14359,n4563,25200,car,gravity,HBW_AM
t17,n15383,n19140,25200,car,gravity,HBW_AM
t18,n16091,n4449,25200,car,gravity,HBW_AM
t19,n16534,n10174,25200,car,gravity,HBW_AM
t20,n17136,n14379,25200,car,gravity,HBW_AM
t21,n17136,n17590,25200,car,gravity,HBW_AM
t22,n17203,n8872,25200,car,gravity,HBW_AM
t23,n17598,n6482,25200,car,gravity,HBW_AM
t24,n17643,n17801,25200,car,gravity,HBW_AM
t25,n17816,n9795,25200,car,gravity,HBW_AM
t26,n18457,n10888,25200,car,gravity,HBW_AM
t27,n19218,n9386,25200,car,gravity,HBW_AM
t28,n19282,n11429,25200,car,gravity,HBW_AM
t29,n19689,n7476,25200,car,gravity,HBW_AM
t30,n19947,n18476,25200,car,gravity,HBW_AM
t31,n2283,n15345,25200,car,gravity,HBW_AM
t32,n2614,n17954,25200,car,gravity,HBW_AM
t33,n3140,n8834,25200,car,gravity,HBW_AM
t34,n3229,n14995,25200,car,gravity,HBW_AM
t35,n3229,n3142,25200,car,gravity,HBW_AM
t36,n3229,n5943,25200,car,gravity,HBW_AM
t37,n3307,n9799,25200,car,gravity,HBW_AM
t38,n3982,n6821,25200,car,gravity,HBW_AM
t39,n4088,n3360,25200,car,gravity,HBW_AM
t40,n4396,n16269,25200,car,gravity,HBW_AM
t41,n4504,n2834,25200,car,gravity,HBW_AM
t42,n5108,n830,25200,car,gravity,HBW_AM
t43,n6877,n4954,25200,car,gravity,HBW_AM
t44,n8244,n18024,25200,car,gravity,HBW_AM
t45,n8356,n11496,25200,car,gravity,HBW_AM
t46,n8356,n11726,25200,car,gravity,HBW_AM
t47,n8356,n14481,25200,car,gravity,HBW_AM
t48,n8356,n19266,25200,car,gravity,HBW_AM
t49,n8356,n2142,25200,car,gravity,HBW_AM
t50,n8356,n3267,25200,car,gravity,HBW_AM
t51,n8356,n4733,25200,car,gravity,HBW_AM
t52,n8356,n6699,25200,car,gravity,HBW_AM
t53,n8356,n8540,25200,car,gravity,HBW_AM
t54,n8356,n9139,25200,car,gravity,HBW_AM
t55,n8356,n993,25200,car,gravity,HBW_AM
t56,n9359,n18169,25200,car,gravity,HBW_AM
t57,n9800,n8697,25200,car,gravity,HBW_AM
t58,n10338,n7598,25500,car,gravity,HBW_AM
t59,n17972,n13065,25500,car,gravity,HBW_AM
t60,n10069,n17233,25800,car,gravity,HBW_AM
t61,n11119,n12831,25800,car,gravity,HBW_AM
t62,n12709,n14135,25800,car,gravity,HBW_AM
t63,n1365,n13754,25800,car,gravity,HBW_AM
t64,n14397,n12750,25800,car,gravity,HBW_AM
t65,n14397,n17164,25800,car,gravity,HBW_AM
t66,n15266,n10604,25800,car,gravity,HBW_AM
t67,n15266,n14011,25800,car,gravity,HBW_AM
t68,n15266,n5176,25800,car,gravity,HBW_AM
t69,n15625,n10694,25800,car,gravity,HBW_AM
t70,n16363,n7896,25800,car,gravity,HBW_AM
t71,n16705,n11673,25800,car,gravity,HBW_AM
