trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n9107,n26924,0,car
t1,n9585,n18319,0,car
t2,n7819,n6160,0,car
t3,n26399,n12862,0,car
t4,n4723,n6488,0,car
t5,n9484,n1209,0,car
t6,n14512,n3088,0,car
t7,n1703,n8216,0,car
t8,n20976,n24292,0,car
t9,n12088,n13410,0,transit
t10,n2670,n18439,0,car
t11,n9135,n24045,0,car
t12,n4855,n12988,0,car
t13,n17303,n4072,0,car
t14,n1249,n12499,0,transit
t15,n4348,n13941,0,car
t16,n5183,n6366,0,car
t17,n1107,n19412,0,transit
t18,n22729,n27038,0,car
t19,n1589,n5863,0,car
t20,n15748,n2642,0,car
t21,n9007,n25867,0,car
t22,n20047,n6224,0,car
t23,n20144,n23892,0,car
t24,n16655,n8739,0,car
t25,n8967,n27420,0,car
t26,n1891,n12238,0,car
t27,n8189,n14266,0,car
t28,n10486,n23816,0,car
t29,n12664,n25081,0,car
t30,n6820,n9695,0,transit
t31,n13285,n13192,0,car
t32,n1312,n16263,0,car
t33,n1388,n19376,0,car
t34,n20233,n14796,0,car
t35,n7085,n6523,0,car
t36,n20122,n23967,0,car
t37,n21430,n6621,0,car
t38,n20530,n20119,0,car
t39,n18884,n10876,0,car
t40,n6647,n4442,0,car
t41,n6374,n899,0,car
t42,n16988,n14517,0,car
t43,n27035,n14891,0,car
t44,n920,n9836,0,car
t45,n3012,n10536,0,car
t46,n4394,n1617,0,car
t47,n4504,n14300,0,car
t48,n21223,n14949,0,car
t49,n12311,n6289,0,transit
t50,n1084,n11386,0,car
t51,n22262,n11703,0,car
t52,n9179,n26222,0,transit
t53,n5137,n6011,0,car
t54,n10939,n7761,0,car
t55,n5378,n21104,0,car
t56,n5147,n16170,0,car
t57,n320,n11012,0,car
t58,n7211,n3084,0,car
t59,n23733,n11651,0,car
t60,n7127,n19303,0,car
t61,n4001,n24825,0,car
t62,n18506,n4592,0,car
t63,n4267,n12284,0,car
t64,n19276,n13108,0,car
t65,n18769,n18247,0,car
t66,n25745,n492,0,car
t67,n1626,n16376,0,car
t68,n2986,n3744,0,car
t69,n19736,n317,0,car
t70,n17429,n20326,0,transit
t71,n15606,n7919,0,car
t72,n2879,n24387,0,transit
t73,n16815,n17282,0,car
t74,n6047,n16163,0,car
t75,n1481,n11761,0,car
t76,n6193,n17355,0,car
t77,n17618,n25124,0,transit
t78,n7890,n19825,0,car
t79,n17131,n25132,0,car
t80,n4772,n20234,0,transit
t81,n20804,n6983,0,car
t82,n2829,n23102,0,car
t83,n6815,n14046,0,car
t84,n18816,n13935,0,car
t85,n11648,n13093,0,car
t86,n25463,n4784,0,transit
t87,n8346,n13349,0,transit
t88,n23228,n11524,0,car
t89,n7344,n19780,0,transit
t90,n14826,n14690,0,car
t91,n7086,n22600,0,car
t92,n15645,n8903,0,car
t93,n3359,n20056,0,car
t94,n18917,n10766,0,car
t95,n18668,n10569,0,car
t96,n1094,n5626,0,car
t97,n15398,n14280,0,car
t98,n22362,n24069,0,car
t99,n19911,n1774,0,car
t100,n19409,n8243,0,car
t101,n6286,n15534,0,car
t102,n9898,n17955,0,car
t103,n6916,n1986,0,car
t104,n19924,n5816,0,car
t105,n3367,n23041,0,car
t106,n16825,n23899,0,car
t107,n20057,n1309,0,car
t108,n26663,n12071,0,car
t109,n13698,n10735,0,car
t110,n850,n4408,0,car
t111,n16743,n11098,0,car
t112,n11740,n24847,0,car
t113,n10362,n12487,0,car
t114,n13808,n25638,0,car
t115,n10676,n21167,0,car
t116,n9310,n8153,0,car
t117,n20805,n5366,0,transit
t118,n2358,n5575,0,car
t119,n14135,n18621,0,car
t120,n5592,n11922,0,car
t121,n841,n14016,0,car
t122,n19172,n11869,0,transit
t123,n23219,n4331,0,car
t124,n5781,n877,0,car
t125,n116,n26844,0,car
t126,n17482,n21222,0,transit
t127,n7366,n12156,0,car
t128,n9500,n15535,0,car
t129,n15138,n23886,0,car
t130,n3591,n3388,0,car
t131,n15700,n2333,0,car
t132,n23677,n19976,0,car
t133,n10253,n7862,0,transit
t134,n16599,n22519,0,car
t135,n5784,n259,0,transit
t136,n26654,n17350,0,car
t137,n8295,n25373,0,transit
t138,n10070,n21402,0,car
t139,n7355,n26344,0,car
t140,n3253,n18264,0,car
t141,n5862,n13307,0,car
t142,n26626,n6886,0,car
t143,n27384,n5484,0,car
t144,n1113,n5666,0,car
t145,n761,n19397,0,car
t146,n6305,n25275,0,car
t147,n1388,n5029,0,car
t148,n17141,n24955,0,car
t149,n19633,n23861,0,car
t150,n10318,n15806,0,car
t151,n5897,n3337,0,car
t152,n23668,n23313,0,transit
