trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n677,n1746,0,car
t1,n410,n2168,0,car
t2,n1837,n2666,1,car
t3,n1275,n1069,1,car
t4,n727,n2131,2,car
t5,n2587,n962,2,car
t6,n1316,n1747,2,car
t7,n1201,n1282,4,car
t8,n2839,n2741,5,car
t9,n2571,n2573,5,car
t10,n1962,n2784,6,car
t11,n3037,n959,8,car
t12,n2407,n2424,11,car
t13,n718,n2238,11,car
t14,n1559,n2523,12,car
t15,n1419,n3007,12,car
t16,n2888,n2883,13,car
t17,n980,n2988,14,car
t18,n2904,n1727,15,car
t19,n250,n2529,16,car
t20,n2384,n2366,18,car
t21,n1605,n3264,18,car
t22,n1794,n3211,20,car
t23,n1943,n2557,20,car
t24,n2754,n684,21,car
t25,n423,n2091,22,car
t26,n3271,n2,23,car
t27,n1485,n889,26,car
t28,n641,n1762,26,car
t29,n2451,n2343,26,car
t30,n1513,n954,28,car
t31,n638,n538,28,car
t32,n1733,n2164,28,car
t33,n3110,n1990,28,car
t34,n666,n398,28,car
t35,n209,n1620,29,car
t36,n1967,n1647,29,car
t37,n3218,n1632,30,car
t38,n243,n1530,30,car
t39,n2089,n2581,30,car
t40,n814,n1208,31,car
t41,n2652,n3013,31,car
t42,n2034,n1700,32,car
t43,n2267,n1078,32,car
t44,n2196,n637,34,car
t45,n2177,n2601,34,car
t46,n2536,n2538,35,car
t47,n440,n438,37,car
t48,n2865,n488,37,car
t49,n1357,n704,38,car
t50,n3053,n1451,38,car
t51,n984,n1316,38,car
t52,n2374,n1455,39,car
t53,n271,n3168,41,car
t54,n2047,n1887,42,car
t55,n595,n1868,43,car
t56,n2450,n484,43,car
t57,n477,n3186,44,car
t58,n753,n1969,45,car
t59,n1560,n3030,47,car
t60,n1472,n1165,47,car
t61,n2795,n2806,48,car
t62,n1003,n2774,49,car
t63,n1792,n2170,49,car
t64,n2934,n278,50,car
t65,n703,n2628,50,car
t66,n870,n1265,50,car
t67,n1560,n1256,51,car
t68,n3217,n1398,53,car
t69,n2690,n0,54,car
t70,n3196,n2698,54,car
t71,n1597,n2163,56,car
