trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n516,n584,0,car
t1,n1378,n408,0,car
t2,n884,n789,1,car
t3,n31,n844,1,car
t4,n1651,n794,2,car
t5,n959,n5,2,car
t6,n151,n787,2,car
t7,n738,n198,4,car
t8,n101,n1321,5,car
t9,n1573,n1280,5,car
t10,n995,n1097,6,car
t11,n1257,n1232,8,car
t12,n530,n205,11,car
t13,n375,n93,11,car
t14,n452,n1126,12,car
t15,n220,n885,12,car
t16,n1348,n182,13,car
t17,n830,n1087,14,car
t18,n544,n1524,15,car
t19,n1619,n777,16,car
t20,n1041,n1036,18,car
t21,n666,n1115,18,car
t22,n1336,n1228,20,car
t23,n133,n821,20,car
t24,n1179,n1168,21,car
t25,n857,n551,22,car
t26,n341,n1617,23,car
t27,n1516,n1523,26,car
t28,n1202,n1429,26,car
t29,n545,n1050,26,car
t30,n1573,n1665,28,car
t31,n1529,n694,28,car
t32,n358,n618,28,car
t33,n478,n613,28,car
t34,n1064,n851,28,car
t35,n584,n440,29,car
t36,n153,n495,29,car
t37,n301,n691,30,car
t38,n843,n584,30,car
t39,n21,n287,30,car
t40,n694,n1640,31,car
t41,n600,n1290,31,car
t42,n62,n1598,32,car
t43,n1646,n1611,32,car
t44,n1162,n1157,34,car
t45,n1655,n770,34,car
t46,n13,n795,35,car
t47,n1188,n643,37,car
t48,n1315,n418,37,car
t49,n758,n759,38,car
t50,n1336,n777,38,car
t51,n1471,n775,38,car
t52,n640,n704,39,car
t53,n24,n1665,41,car
t54,n1143,n1139,42,car
t55,n234,n1342,43,car
t56,n1618,n315,43,car
t57,n1473,n807,44,car
t58,n1642,n1530,45,car
t59,n412,n1338,47,car
t60,n971,n1119,47,car
t61,n548,n979,48,car
t62,n1390,n1211,49,car
t63,n165,n1248,49,car
t64,n178,n1609,50,car
t65,n735,n233,50,car
t66,n305,n517,50,car
t67,n412,n654,51,car
t68,n1103,n1316,53,car
t69,n1023,n499,54,car
t70,n1431,n816,54,car
t71,n688,n293,56,car
t72,n1004,n1214,56,car
t73,n552,n78,58,car
t74,n24,n1371,58,car
t75,n621,n883,59,car
t76,n695,n141,60,car
t77,n307,n110,61,car
t78,n27,n1042,61,car
t79,n392,n1122,61,car
t80,n528,n1642,64,car
t81,n203,n699,64,car
t82,n1090,n1365,65,car
t83,n1397,n1211,67,car
t84,n1347,n339,68,car
t85,n1496,n1417,69,car
t86,n1435,n1414,69,car
t87,n357,n1299,69,car
t88,n1549,n812,70,car
t89,n1159,n1195,71,car
t90,n919,n402,74,car
t91,n1099,n42,75,car
t92,n1168,n1165,76,car
t93,n394,n145,76,car
t94,n786,n1244,78,car
t95,n1051,n890,78,car
t96,n1419,n437,78,car
t97,n1214,n317,79,car
t98,n95,n1060,80,car
t99,n419,n219,80,car
t100,n1563,n1510,81,car
t101,n835,n1011,82,car
t102,n143,n561,83,car
t103,n1656,n1473,83,car
t104,n1352,n427,84,car
t105,n28,n838,86,car
t106,n747,n1356,88,car
t107,n640,n749,88,car
t108,n1141,n1140,89,car
t109,n532,n497,92,car
t110,n793,n856,92,car
t111,n777,n861,93,car
t112,n1289,n118,93,car
t113,n67,n935,94,car
t114,n1610,n798,94,car
t115,n1565,n1103,94,car
t116,n1220,n21,94,car
t117,n1153,n1260,94,car
t118,n991,n576,95,car
t119,n250,n1216,96,car
t120,n900,n1175,96,car
t121,n1143,n1194,98,car
t122,n102,n1374,99,car
t123,n361,n794,99,car
t124,n1269,n1179,100,car
t125,n70,n1601,100,car
t126,n308,n200,101,car
t127,n1323,n1319,101,car
t128,n1463,n503,101,car
t129,n66,n150,102,car
t130,n1159,n1172,103,car
t131,n1408,n745,103,car
t132,n58,n278,104,car
t133,n385,n1285,105,car
t134,n261,n596,105,car
t135,n426,n1642,106,car
t136,n1469,n853,106,car
t137,n1359,n185,106,car
t138,n527,n1677,106,car
t139,n724,n368,109,car
t140,n28,n382,110,car
t141,n71,n1276,111,car
t142,n1274,n1134,112,car
t143,n1102,n946,112,car
t144,n1341,n504,112,car
t145,n650,n709,113,car
t146,n989,n225,115,car
t147,n847,n339,115,car
t148,n80,n1606,116,car
t149,n510,n857,116,car
t150,n405,n1615,117,car
t151,n954,n267,117,car
t152,n388,n731,117,car
t153,n658,n1098,118,car
t154,n1106,n1600,119,car
t155,n234,n437,120,car
t156,n844,n287,121,car
t157,n294,n966,121,car
t158,n1302,n322,121,car
t159,n1541,n1496,121,car
t160,n478,n568,122,car
t161,n663,n966,122,car
t162,n1677,n544,123,car
t163,n1529,n1634,124,car
t164,n26,n1610,125,car
t165,n1475,n587,125,car
t166,n1547,n482,126,car
t167,n1117,n471,127,car
t168,n219,n853,128,car
t169,n630,n253,129,car
t170,n1130,n364,129,car
t171,n1286,n587,132,car
t172,n1593,n292,133,car
t173,n332,n1287,134,car
t174,n1514,n1563,135,car
t175,n515,n517,135,car
t176,n786,n1576,135,car
t177,n217,n1498,135,car
t178,n491,n545,138,car
t179,n525,n496,139,car
t180,n289,n618,139,car
t181,n331,n280,139,car
t182,n625,n125,139,car
t183,n669,n1480,140,car
t184,n1500,n1573,140,car
t185,n64,n1031,141,car
t186,n1115,n1317,141,car
t187,n1592,n715,143,car
t188,n1256,n1542,144,car
t189,n1170,n719,144,car
t190,n1047,n469,145,car
t191,n836,n640,145,car
t192,n856,n884,146,car
t193,n431,n1258,146,car
t194,n23,n168,146,car
t195,n917,n127,147,car
t196,n556,n532,147,car
t197,n656,n149,147,car
t198,n590,n816,148,car
t199,n332,n765,149,car
t200,n1436,n1052,150,car
t201,n366,n354,150,car
t202,n70,n73,150,car
t203,n1109,n693,151,car
t204,n1291,n687,151,car
t205,n1030,n1223,152,car
t206,n97,n311,152,car
t207,n482,n519,153,car
t208,n504,n1077,156,car
t209,n755,n1329,156,car
t210,n1405,n1448,157,car
t211,n794,n870,157,car
t212,n1428,n1395,157,car
t213,n1019,n1082,158,car
t214,n28,n20,158,car
t215,n1279,n543,158,car
t216,n1473,n859,159,car
t217,n369,n400,161,car
t218,n129,n308,162,car
t219,n916,n1193,162,car
t220,n99,n309,163,car
t221,n457,n347,164,car
t222,n529,n1438,165,car
t223,n787,n786,166,car
t224,n1199,n122,166,car
t225,n1580,n882,167,car
t226,n323,n17,169,car
t227,n745,n365,171,car
t228,n1099,n67,171,car
t229,n481,n475,172,car
t230,n228,n33,174,car
t231,n1140,n1010,174,car
t232,n560,n656,175,car
t233,n979,n261,176,car
t234,n1163,n1167,177,car
t235,n263,n942,178,car
t236,n576,n1426,182,car
t237,n1124,n154,183,car
t238,n129,n1495,183,car
t239,n1051,n1605,184,car
t240,n1131,n1228,185,car
t241,n124,n204,187,car
t242,n785,n1673,187,car
t243,n1507,n1495,187,car
t244,n1419,n1305,188,car
t245,n1214,n390,188,car
t246,n517,n668,188,car
t247,n1166,n919,189,car
t248,n1279,n1473,189,car
t249,n746,n1597,190,car
t250,n1036,n1489,190,car
t251,n776,n485,191,car
t252,n1271,n503,191,car
t253,n213,n513,191,car
t254,n1293,n448,193,car
t255,n956,n1530,193,car
t256,n786,n302,194,car
t257,n1323,n1618,194,car
t258,n1257,n1256,195,car
t259,n349,n411,195,car
t260,n1322,n595,196,car
t261,n558,n616,196,car
t262,n1143,n1153,196,car
t263,n711,n55,198,car
t264,n1290,n685,199,car
t265,n1038,n745,199,car
t266,n499,n573,201,car
t267,n1021,n761,204,car
t268,n373,n243,204,car
t269,n480,n1471,205,car
t270,n628,n153,206,car
t271,n1014,n1216,206,car
t272,n1444,n500,208,car
t273,n1414,n861,208,car
t274,n519,n560,208,car
t275,n151,n626,210,car
t276,n274,n618,210,car
t277,n480,n1540,211,car
t278,n1337,n1579,211,car
t279,n1127,n1309,212,car
t280,n1639,n1553,214,car
t281,n1239,n298,215,car
t282,n1183,n864,215,car
t283,n233,n1676,215,car
t284,n471,n178,216,car
t285,n187,n195,217,car
t286,n544,n668,218,car
t287,n1631,n282,218,car
t288,n80,n463,219,car
t289,n1561,n826,219,car
t290,n72,n1004,221,car
t291,n865,n504,222,car
t292,n336,n1251,223,car
t293,n1558,n83,225,car
t294,n141,n1558,226,car
t295,n378,n884,227,car
t296,n533,n87,227,car
t297,n143,n475,229,car
t298,n1408,n498,229,car
t299,n1452,n1249,229,car
t300,n502,n618,229,car
t301,n278,n1078,230,car
t302,n1456,n1666,230,car
t303,n764,n949,231,car
t304,n530,n1427,232,car
t305,n1037,n1325,232,car
t306,n1288,n1346,234,car
t307,n1495,n53,235,car
t308,n437,n45,235,car
t309,n1053,n1497,236,car
t310,n382,n164,236,car
t311,n149,n382,237,car
t312,n394,n382,237,car
t313,n551,n855,237,car
t314,n719,n236,238,car
t315,n892,n1555,238,car
t316,n197,n1511,240,car
t317,n320,n240,240,car
t318,n1151,n164,240,car
t319,n1344,n1345,241,car
t320,n558,n1616,241,car
t321,n150,n209,241,car
t322,n385,n1221,241,car
t323,n251,n708,242,car
t324,n1260,n1264,243,car
t325,n836,n57,244,car
