trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n430,n451,25200,car
t1,n1079,n895,25200,car
t2,n106,n611,25411,car
t3,n1095,n252,25454,car
t4,n944,n564,25468,car
t5,n146,n372,25502,car
t6,n762,n589,25666,car
t7,n571,n190,25892,car
t8,n546,n855,25921,car
t9,n558,n632,25929,car
t10,n567,n452,25970,car
t11,n944,n382,25981,car
t12,n188,n617,26006,car
t13,n562,n1118,26007,car
t14,n784,n616,26028,car
t15,n1095,n1141,26030,car
t16,n1095,n1186,26067,car
t17,n157,n287,26084,car
t18,n137,n937,26091,car
t19,n1013,n46,26091,car
t20,n438,n415,26098,car
t21,n586,n659,26146,car
t22,n940,n223,26176,car
t23,n357,n393,26196,car
t24,n154,n75,26201,car
t25,n562,n617,26218,car
t26,n349,n1157,26219,car
t27,n100,n82,26244,car
t28,n347,n577,26302,car
t29,n137,n228,26318,car
t30,n167,n323,26343,car
t31,n227,n660,26351,car
t32,n535,n712,26376,car
t33,n183,n1041,26378,car
t34,n347,n994,26405,car
t35,n347,n908,26408,car
t36,n523,n567,26413,car
t37,n1025,n967,26419,car
t38,n762,n11,26428,car
t39,n534,n53,26435,car
t40,n199,n821,26436,car
t41,n1013,n8,26441,car
t42,n567,n523,26444,car
t43,n137,n54,26454,car
t44,n1154,n263,26470,car
t45,n347,n1154,26471,car
t46,n547,n49,26490,car
t47,n1178,n962,26500,car
t48,n579,n690,26524,car
t49,n165,n101,26534,car
t50,n762,n725,26580,car
t51,n137,n997,26580,car
t52,n439,n496,26615,car
t53,n100,n950,26621,car
t54,n146,n1128,26623,car
t55,n1047,n474,26627,car
t56,n586,n437,26695,car
t57,n702,n785,26697,car
t58,n1044,n454,26701,car
t59,n1079,n90,26710,car
t60,n31,n378,26713,car
t61,n332,n485,26721,car
t62,n535,n471,26723,car
t63,n410,n1052,26728,car
t64,n106,n484,26731,car
t65,n778,n734,26743,car
t66,n220,n1182,26747,car
t67,n778,n597,26759,car
t68,n778,n954,26762,car
t69,n1178,n425,26762,car
t70,n534,n172,26770,car
t71,n1149,n1037,26773,car
t72,n533,n37,26775,car
t73,n547,n643,26776,car
t74,n558,n975,26776,car
t75,n543,n727,26777,car
t76,n601,n908,26790,car
t77,n1095,n137,26801,car
t78,n929,n438,26810,car
t79,n1130,n543,26811,car
t80,n448,n986,26821,car
t81,n1013,n1059,26832,car
t82,n123,n189,26847,car
t83,n347,n60,26870,car
t84,n298,n181,26878,car
t85,n586,n1115,26879,car
t86,n347,n409,26883,car
t87,n1178,n563,26890,car
t88,n762,n48,26902,car
t89,n523,n351,26902,car
t90,n652,n143,26910,car
t91,n137,n10,26916,car
t92,n322,n350,26927,car
t93,n731,n661,26927,car
t94,n1013,n603,26930,car
t95,n349,n439,26933,car
t96,n435,n797,26940,car
t97,n672,n497,26942,car
t98,n1079,n298,26953,car
t99,n1026,n868,26963,car
t100,n448,n840,26964,car
t101,n32,n434,26966,car
t102,n321,n1164,26967,car
t103,n1063,n661,26969,car
t104,n449,n1002,26976,car
t105,n1149,n1015,26989,car
t106,n349,n392,26996,car
t107,n762,n337,26998,car
t108,n337,n749,27041,car
t109,n586,n1186,27042,car
t110,n434,n262,27043,car
t111,n1178,n318,27044,car
t112,n31,n1170,27053,car
t113,n1095,n609,27058,car
t114,n123,n967,27070,car
t115,n535,n146,27076,car
t116,n762,n124,27088,car
t117,n167,n1110,27095,car
t118,n473,n575,27100,car
t119,n32,n964,27109,car
t120,n162,n544,27111,car
t121,n118,n164,27121,car
t122,n614,n253,27129,car
t123,n479,n800,27130,car
t124,n110,n645,27130,car
t125,n1079,n643,27139,car
t126,n827,n830,27146,car
t127,n570,n497,27146,car
t128,n778,n319,27154,car
t129,n357,n1058,27155,car
t130,n142,n367,27156,car
t131,n154,n492,27156,car
t132,n524,n488,27157,car
t133,n1102,n1051,27162,car
t134,n347,n104,27163,car
t135,n1079,n1063,27165,car
t136,n157,n85,27165,car
t137,n488,n36,27166,car
t138,n1063,n1179,27166,car
t139,n337,n1060,27177,car
t140,n1079,n6,27185,car
t141,n1128,n614,27190,car
t142,n535,n716,27191,car
t143,n448,n862,27196,car
t144,n762,n133,27197,car
t145,n762,n207,27197,car
t146,n347,n104,27198,car
t147,n261,n571,27199,car
t148,n349,n202,27201,car
t149,n601,n891,27206,car
t150,n1095,n712,27210,car
t151,n1063,n580,27212,car
t152,n32,n324,27215,car
t153,n137,n649,27227,car
t154,n571,n911,27232,car
t155,n188,n19,27238,car
t156,n337,n78,27239,car
t157,n1013,n114,27240,car
t158,n146,n584,27242,car
t159,n210,n740,27245,car
t160,n919,n901,27247,car
t161,n1121,n1077,27249,car
t162,n1128,n756,27250,car
t163,n406,n389,27252,car
t164,n349,n337,27263,car
t165,n302,n1033,27263,car
t166,n562,n13,27275,car
t167,n523,n721,27276,car
t168,n123,n926,27278,car
t169,n31,n225,27279,car
t170,n1178,n310,27281,car
t171,n550,n385,27336,car
t172,n1025,n228,27340,car
t173,n559,n2,27340,car
t174,n31,n986,27342,car
t175,n1013,n188,27346,car
t176,n1095,n19,27348,car
t177,n158,n675,27348,car
t178,n778,n997,27351,car
t179,n165,n1060,27352,car
t180,n923,n870,27356,car
t181,n137,n801,27356,car
t182,n106,n573,27356,car
t183,n586,n790,27358,car
t184,n396,n348,27360,car
t185,n154,n252,27366,car
t186,n762,n85,27373,car
t187,n586,n52,27377,car
t188,n32,n1135,27377,car
t189,n1013,n18,27399,car
t190,n157,n1144,27400,car
t191,n923,n545,27403,car
t192,n406,n271,27405,car
t193,n1128,n814,27417,car
t194,n448,n232,27437,car
t195,n778,n995,27438,car
t196,n31,n502,27445,car
t197,n762,n733,27448,car
t198,n547,n392,27449,car
t199,n119,n980,27455,car
t200,n157,n926,27462,car
t201,n558,n273,27466,car
t202,n940,n546,27470,car
t203,n439,n601,27481,car
t204,n389,n726,27485,car
t205,n923,n181,27487,car
t206,n335,n130,27489,car
t207,n118,n657,27490,car
t208,n570,n611,27493,car
t209,n1099,n68,27496,car
t210,n411,n627,27499,car
t211,n995,n1069,27502,car
t212,n1013,n156,27503,car
t213,n762,n289,27511,car
t214,n784,n974,27514,car
t215,n562,n857,27515,car
t216,n376,n958,27515,car
t217,n349,n152,27521,car
t218,n123,n473,27526,car
t219,n508,n952,27539,car
t220,n490,n451,27539,car
t221,n110,n851,27540,car
t222,n134,n207,27543,car
t223,n479,n986,27560,car
t224,n586,n985,27567,car
t225,n1079,n569,27567,car
t226,n166,n478,27572,car
t227,n448,n1143,27574,car
t228,n448,n230,27575,car
t229,n586,n182,27582,car
t230,n553,n1188,27585,car
t231,n1178,n715,27599,car
t232,n510,n38,27607,car
t233,n1130,n843,27618,car
t234,n183,n752,27621,car
t235,n778,n848,27626,car
t236,n119,n680,27629,car
t237,n19,n582,27631,car
t238,n376,n1174,27635,car
t239,n571,n690,27635,car
t240,n217,n961,27637,car
t241,n123,n838,27642,car
t242,n1149,n965,27650,car
t243,n567,n672,27650,car
t244,n1013,n327,27652,car
t245,n448,n869,27660,car
t246,n1013,n926,27667,car
t247,n448,n54,27670,car
t248,n288,n1194,27674,car
