trip_id,origin_node_id,destination_node_id,departure_time_s,mode,dest_source
t0,n102464,n119997,21600,car,schedule
t1,n102464,n48819,21600,car,schedule
t2,n10964,n87283,21600,car,schedule
t3,n109839,n30017,21600,car,schedule
t4,n11001,n6427,21600,car,schedule
t5,n111220,n32231,21600,car,schedule
t6,n11133,n42851,21600,car,schedule
t7,n111719,n102429,21600,car,schedule
t8,n112930,n53900,21600,car,schedule
t9,n1130,n61283,21600,car,schedule
t10,n114301,n53569,21600,car,schedule
t11,n115363,n78624,21600,car,schedule
t12,n116597,n23935,21600,car,schedule
t13,n11720,n28733,21600,car,schedule
t14,n11894,n136797,21600,car,schedule
t15,n127402,n152615,21600,car,schedule
t16,n130015,n37615,21600,car,schedule
t17,n13073,n50458,21600,car,schedule
t18,n134635,n57005,21600,car,schedule
t19,n136659,n32681,21600,car,schedule
t20,n13683,n63066,21600,car,schedule
t21,n13759,n118750,21600,car,schedule
t22,n13812,n99331,21600,car,schedule
t23,n13838,n145897,21600,car,schedule
t24,n13846,n49486,21600,car,schedule
t25,n138550,n119834,21600,car,schedule
t26,n139935,n61516,21600,car,schedule
t27,n14042,n112372,21600,car,schedule
t28,n144507,n58444,21600,car,schedule
t29,n147054,n121623,21600,car,schedule
t30,n147581,n57992,21600,car,schedule
t31,n155467,n58386,21600,car,schedule
t32,n15939,n56073,21600,car,schedule
t33,n17403,n124295,21600,car,schedule
t34,n1975,n119950,21600,car,schedule
t35,n19800,n53835,21600,car,schedule
t36,n20340,n37894,21600,car,schedule
t37,n20379,n87203,21600,car,schedule
t38,n20427,n58629,21600,car,schedule
t39,n22058,n48267,21600,car,schedule
t40,n22317,n69120,21600,car,schedule
t41,n23341,n143302,21600,car,schedule
t42,n23386,n50538,21600,car,schedule
t43,n23491,n129827,21600,car,schedule
t44,n2387,n87154,21600,car,schedule
t45,n24799,n57043,21600,car,schedule
t46,n25704,n64368,21600,car,schedule
t47,n25722,n30686,21600,car,schedule
t48,n27722,n83898,21600,car,schedule
t49,n27723,n83898,21600,car,schedule
t50,n2808,n125177,21600,car,schedule
t51,n2905,n145884,21600,car,schedule
t52,n2920,n126604,21600,car,schedule
t53,n29517,n136808,21600,car,schedule
t54,n30148,n44908,21600,car,schedule
t55,n30652,n118750,21600,car,schedule
t56,n30782,n121979,21600,car,schedule
t57,n33069,n113272,21600,car,schedule
t58,n33215,n83629,21600,car,schedule
t59,n38163,n61317,21600,car,schedule
t60,n47222,n124889,21600,car,schedule
t61,n49499,n38780,21600,car,schedule
t62,n49625,n51075,21600,car,schedule
t63,n5018,n140626,21600,car,schedule
t64,n50613,n12476,21600,car,schedule
t65,n50781,n47616,21600,car,schedule
