trip_id,origin_node_id,destination_node_id,departure_time_s,mode,dest_source,purpose
t0,n25503,n76059,27240,car,schedule,HBSchool_AM
t1,n76059,n9440,27240,car,schedule,HBW_AM_chained
t2,n100838,n154073,27300,car,schedule,HBW_AM_chained
t3,n100838,n67573,27300,car,schedule,HBW_AM_chained
t4,n11352,n65530,27300,car,schedule,HBW_AM
t5,n11431,n157030,27300,car,schedule,HBW_AM
t6,n11470,n44505,27300,car,schedule,HBSchool_AM
t7,n11472,n80278,27300,car,schedule,HBSchool_AM
t8,n12777,n69127,27300,car,schedule,HBW_AM
t9,n13141,n13814,27300,car,schedule,HBW_AM
t10,n13188,n86594,27300,car,schedule,HBW_AM
t11,n13836,n87263,27300,car,schedule,HBW_AM
t12,n13928,n12548,27300,car,schedule,HBW_AM
t13,n14066,n62151,27300,car,schedule,HBW_AM
t14,n14085,n72683,27300,car,schedule,HBSchool_AM
t15,n14091,n65530,27300,car,schedule,HBW_AM
t16,n148691,n80768,27300,car,schedule,HBSchool_AM
t17,n150170,n51005,27300,car,schedule,HBW_AM_chained
t18,n151494,n15666,27300,car,schedule,HBW_AM_chained
t19,n151494,n78415,27300,car,schedule,HBW_AM_chained
t20,n154099,n84831,27300,car,schedule,HBW_AM
t21,n158725,n153463,27300,car,schedule,HBW_AM
t22,n17955,n87440,27300,car,schedule,HBW_AM
t23,n17967,n95886,27300,car,schedule,HBW_AM_chained
t24,n19212,n44351,27300,car,schedule,HBSchool_AM
t25,n19333,n96980,27300,car,schedule,HBW_AM
t26,n20806,n44505,27300,car,schedule,HBSchool_AM
t27,n21164,n86594,27300,car,schedule,HBW_AM
t28,n22057,n44086,27300,car,schedule,HBW_AM
t29,n23230,n6064,27300,car,schedule,HBW_AM
t30,n23241,n51005,27300,car,schedule,HBW_AM
t31,n23243,n51005,27300,car,schedule,HBW_AM
t32,n24265,n5100,27300,car,schedule,HBSchool_AM
t33,n24300,n65530,27300,car,schedule,HBW_AM
t34,n24404,n47554,27300,car,schedule,HBSchool_AM
t35,n2831,n64237,27300,car,schedule,HBSchool_AM
t36,n28633,n148763,27300,car,schedule,HBW_AM
t37,n29531,n88790,27300,car,schedule,HBW_AM
t38,n29569,n151494,27300,car,schedule,HBSchool_AM
t39,n29577,n151494,27300,car,schedule,HBSchool_AM
t40,n30724,n19238,27300,car,schedule,HBW_AM_chained
t41,n3097,n50551,27300,car,schedule,HBW_AM
t42,n31674,n83695,27300,car,schedule,HBW_AM_chained
t43,n3240,n100851,27300,car,schedule,HBW_AM
t44,n32986,n81937,27300,car,schedule,HBW_AM
t45,n38161,n46868,27300,car,schedule,HBW_AM_chained
t46,n38161,n46868,27300,car,schedule,HBW_AM_chained
t47,n38161,n5861,27300,car,schedule,HBW_AM_chained
t48,n3866,n67727,27300,car,schedule,HBW_AM
t49,n43480,n140733,27300,car,schedule,HBW_AM
