trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n2330,n684,0,car
t1,n1825,n3364,0,car
t2,n2563,n1644,0,car
t3,n1692,n2236,0,car
t4,n1623,n4903,0,car
t5,n5172,n808,0,car
t6,n1155,n4766,0,car
t7,n2633,n5999,0,car
t8,n1141,n446,0,car
t9,n1044,n880,0,car
t10,n2388,n4883,0,car
t11,n5329,n198,0,car
t12,n1044,n5899,0,car
t13,n4737,n1965,0,car
t14,n2403,n169,0,car
t15,n6006,n4853,5,car
t16,n3593,n57,12,car
t17,n2356,n6257,22,car
t18,n1692,n3335,23,car
t19,n3114,n2567,31,car
t20,n5116,n3666,80,car
t21,n2005,n1484,82,car
t22,n3361,n2997,87,car
t23,n6043,n6284,94,car
t24,n197,n2729,102,car
t25,n2330,n1242,105,car
t26,n1967,n1640,110,car
t27,n2308,n3417,125,car
t28,n1993,n743,135,car
t29,n519,n3188,147,car
t30,n4238,n442,152,car
t31,n1814,n4435,155,car
t32,n965,n4743,156,car
t33,n6016,n3370,157,car
t34,n3358,n4111,157,car
t35,n111,n1535,157,car
t36,n5420,n3683,159,car
t37,n705,n1057,163,car
t38,n2626,n3010,180,car
t39,n6009,n5721,188,car
t40,n4128,n3201,192,car
t41,n316,n185,193,car
t42,n6245,n2819,194,car
t43,n5196,n3244,195,car
t44,n501,n2349,200,car
t45,n6121,n3411,201,car
t46,n6013,n3515,207,car
t47,n6217,n390,217,car
t48,n3241,n5927,217,car
t49,n4894,n4626,219,car
t50,n6037,n3981,219,car
t51,n4373,n3608,233,car
t52,n2183,n6138,237,car
t53,n162,n180,239,car
t54,n1175,n3749,241,car
t55,n238,n5623,244,car
t56,n5012,n785,249,car
t57,n1016,n2779,263,car
t58,n3275,n590,267,car
t59,n1826,n222,278,car
t60,n1521,n382,280,car
t61,n2036,n2645,281,car
t62,n6121,n1213,283,car
t63,n5105,n2216,288,car
t64,n2479,n4208,289,car
t65,n6000,n1979,297,car
t66,n1039,n6006,304,car
t67,n1992,n1268,305,car
t68,n1692,n3003,313,car
t69,n3264,n158,315,car
t70,n593,n2311,316,car
t71,n1438,n2554,316,car
t72,n380,n685,317,car
t73,n5403,n3106,317,car
t74,n3876,n4113,319,car
t75,n4266,n3026,320,car
t76,n3114,n1011,327,car
t77,n5094,n6214,328,car
t78,n2875,n1248,331,car
t79,n1927,n2275,336,car
t80,n2299,n5021,336,car
t81,n6121,n612,338,car
t82,n1204,n5851,340,car
t83,n2999,n4538,342,car
t84,n5235,n3283,347,car
t85,n6010,n1310,348,car
t86,n1992,n564,352,car
t87,n6029,n1411,355,car
t88,n2756,n324,357,car
t89,n4457,n4952,359,car
t90,n5948,n5606,360,car
t91,n979,n6064,367,car
t92,n3770,n4141,369,car
t93,n2160,n2586,378,car
t94,n3292,n754,380,car
t95,n883,n1882,383,car
t96,n6007,n5922,386,car
t97,n1044,n4147,393,car
t98,n628,n3520,394,car
t99,n4208,n180,402,car
t100,n1984,n2817,403,car
t101,n6009,n5419,406,car
t102,n2796,n5614,407,car
t103,n6043,n1995,412,car
t104,n62,n2318,414,car
t105,n1412,n1639,417,car
t106,n393,n5101,417,car
t107,n1695,n2119,420,car
t108,n5235,n944,422,car
t109,n2005,n366,426,car
t110,n1717,n78,429,car
t111,n810,n1964,431,car
t112,n6066,n4697,435,car
t113,n1770,n694,442,car
t114,n4451,n3619,443,car
t115,n2759,n4863,444,car
t116,n3013,n4820,444,car
t117,n3380,n2187,446,car
t118,n2287,n3947,448,car
t119,n3063,n2849,449,car
t120,n3576,n5563,452,car
t121,n3400,n4406,456,car
t122,n5833,n3728,461,car
t123,n1335,n3964,462,car
t124,n6076,n6151,462,car
t125,n1480,n35,463,car
t126,n1814,n2466,464,car
t127,n5570,n4036,465,car
t128,n1825,n337,467,car
t129,n719,n1905,468,car
t130,n3148,n2605,469,car
t131,n3826,n3045,470,car
t132,n5067,n5579,475,car
t133,n1048,n5508,477,car
t134,n5231,n6028,479,car
t135,n3114,n691,479,car
t136,n507,n3011,484,car
t137,n1113,n6165,485,car
t138,n2602,n4017,487,car
t139,n3226,n1655,488,car
t140,n2936,n3049,489,car
t141,n2502,n3634,490,car
t142,n2230,n3074,491,car
t143,n3162,n1109,495,car
t144,n519,n1291,495,car
t145,n3270,n1388,497,car
t146,n2005,n263,500,car
t147,n2626,n1001,501,car
t148,n3211,n5705,502,car
t149,n1759,n2040,509,car
t150,n5422,n1637,515,car
t151,n1136,n4511,517,car
t152,n5245,n1049,517,car
t153,n856,n4200,518,car
t154,n1825,n4826,521,car
t155,n2881,n3734,522,car
t156,n5188,n599,529,car
t157,n1536,n3191,531,car
t158,n401,n4018,533,car
t159,n2252,n2215,534,car
t160,n3487,n2234,534,car
t161,n4925,n824,534,car
t162,n1727,n1799,536,car
t163,n3162,n5598,537,car
t164,n4082,n2930,537,car
