trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n3511,n3568,0,car
t1,n591,n3444,0,car
t2,n2579,n829,1,car
t3,n1872,n1076,1,car
t4,n803,n1054,2,car
t5,n2085,n323,2,car
t6,n1049,n43,2,car
t7,n1690,n555,4,car
t8,n3122,n1662,5,car
t9,n2062,n1394,5,car
t10,n44,n2230,6,car
t11,n2060,n894,8,car
t12,n766,n2273,11,car
t13,n902,n1522,11,car
t14,n83,n3399,12,car
t15,n3072,n2765,12,car
t16,n1488,n437,13,car
t17,n1464,n3483,14,car
t18,n2946,n1165,15,car
t19,n1680,n1853,16,car
t20,n1807,n1278,18,car
t21,n3399,n70,18,car
t22,n58,n177,20,car
t23,n3454,n463,20,car
t24,n295,n1547,21,car
t25,n1613,n3435,22,car
t26,n2334,n384,23,car
t27,n2148,n1853,26,car
t28,n3550,n1928,26,car
t29,n2184,n2748,26,car
t30,n2011,n595,28,car
t31,n1589,n1587,28,car
t32,n1493,n3258,28,car
t33,n3613,n3705,28,car
t34,n2673,n3403,28,car
t35,n1413,n1581,29,car
t36,n1196,n2204,29,car
t37,n1245,n1736,30,car
t38,n374,n2095,30,car
t39,n1053,n822,30,car
t40,n206,n3591,31,car
t41,n549,n2150,31,car
t42,n3393,n914,32,car
t43,n2017,n3031,32,car
t44,n877,n585,34,car
t45,n301,n1547,34,car
t46,n13,n1777,35,car
t47,n3638,n2084,37,car
t48,n2774,n408,37,car
t49,n1309,n2216,38,car
t50,n3407,n3336,38,car
t51,n3584,n3481,38,car
t52,n3020,n2366,39,car
t53,n1412,n1860,41,car
t54,n479,n138,42,car
t55,n87,n1457,43,car
t56,n1793,n1787,43,car
t57,n507,n3031,44,car
t58,n1654,n139,45,car
t59,n1038,n1029,47,car
t60,n1682,n735,47,car
t61,n1910,n3411,48,car
t62,n1473,n1166,49,car
t63,n1246,n1985,49,car
t64,n2293,n3631,50,car
t65,n3487,n1955,50,car
t66,n305,n1725,50,car
t67,n1038,n745,51,car
t68,n2025,n1764,53,car
t69,n63,n1399,54,car
t70,n437,n1258,54,car
t71,n2839,n269,56,car
t72,n525,n3581,56,car
t73,n2083,n2076,58,car
t74,n1412,n3294,58,car
t75,n2539,n3267,59,car
t76,n3003,n2681,60,car
t77,n89,n1550,61,car
t78,n2205,n3664,61,car
t79,n1652,n265,61,car
t80,n2487,n644,64,car
t81,n2421,n2403,64,car
t82,n107,n3001,65,car
t83,n1397,n2670,67,car
t84,n2047,n2973,68,car
t85,n1620,n2849,69,car
t86,n3239,n3156,69,car
t87,n2079,n1691,69,car
t88,n1549,n2022,70,car
t89,n1332,n1078,71,car
t90,n1215,n2562,74,car
t91,n2227,n1520,75,car
t92,n1714,n480,76,car
t93,n2041,n1375,76,car
t94,n219,n856,78,car
t95,n648,n3167,78,car
t96,n3385,n1037,78,car
t97,n2841,n218,79,car
t98,n736,n6,80,car
t99,n1074,n1046,80,car
t100,n1182,n2898,81,car
t101,n702,n305,82,car
t102,n143,n1763,83,car
t103,n1361,n64,83,car
t104,n452,n1924,84,car
t105,n1832,n2208,86,car
t106,n1710,n2971,88,car
t107,n98,n1050,88,car
t108,n116,n829,89,car
t109,n1397,n1097,92,car
t110,n1367,n1794,92,car
t111,n539,n1471,93,car
t112,n77,n3212,93,car
t113,n67,n194,94,car
t114,n499,n3287,94,car
t115,n1899,n2265,94,car
t116,n2236,n1220,94,car
t117,n193,n3022,94,car
t118,n830,n85,95,car
t119,n711,n3458,96,car
t120,n1162,n3185,96,car
t121,n1089,n487,98,car
t122,n1586,n1145,99,car
t123,n1170,n381,99,car
t124,n371,n1719,100,car
t125,n2283,n1213,100,car
t126,n2284,n1196,101,car
t127,n1169,n1191,101,car
t128,n131,n741,101,car
t129,n2998,n477,102,car
t130,n3376,n1504,103,car
t131,n1405,n2111,103,car
t132,n2973,n675,104,car
t133,n108,n2621,105,car
t134,n439,n1426,105,car
t135,n2997,n1511,106,car
t136,n455,n2374,106,car
t137,n1692,n1548,106,car
t138,n1021,n145,106,car
t139,n2568,n1980,109,car
t140,n1832,n779,110,car
t141,n1640,n2869,111,car
t142,n2756,n2757,112,car
t143,n2709,n25,112,car
t144,n1624,n921,112,car
t145,n1496,n1300,113,car
t146,n2978,n2172,115,car
t147,n423,n698,115,car
t148,n224,n1353,116,car
t149,n364,n284,116,car
t150,n425,n901,117,car
t151,n2077,n3608,117,car
t152,n2130,n1755,117,car
t153,n2442,n3626,118,car
t154,n1306,n1727,119,car
t155,n87,n1873,120,car
t156,n2669,n3663,121,car
t157,n2575,n43,121,car
t158,n635,n1508,121,car
t159,n1009,n697,121,car
t160,n3613,n3609,122,car
t161,n1971,n2426,122,car
t162,n1944,n1760,123,car
t163,n350,n2221,124,car
t164,n657,n2251,125,car
t165,n1050,n3206,125,car
t166,n2312,n167,126,car
t167,n3310,n2995,127,car
t168,n3194,n1348,128,car
t169,n2143,n1386,129,car
t170,n588,n2994,129,car
t171,n2319,n943,132,car
t172,n202,n1422,133,car
t173,n1727,n2225,134,car
t174,n2276,n567,135,car
t175,n3047,n1400,135,car
t176,n219,n787,135,car
t177,n1151,n1118,135,car
t178,n993,n360,138,car
t179,n3121,n757,139,car
t180,n2970,n1640,139,car
t181,n2812,n2425,139,car
t182,n940,n3671,139,car
t183,n1982,n1957,140,car
t184,n684,n2804,140,car
t185,n49,n2192,141,car
t186,n676,n2191,141,car
t187,n1928,n3602,143,car
t188,n1310,n1057,144,car
t189,n2789,n2273,144,car
t190,n160,n3224,145,car
t191,n3284,n597,145,car
t192,n1194,n491,146,car
t193,n1171,n2162,146,car
t194,n1917,n2204,146,car
t195,n3418,n2586,147,car
t196,n348,n2902,147,car
t197,n396,n26,147,car
t198,n30,n1258,148,car
t199,n536,n33,149,car
t200,n1010,n2098,150,car
t201,n1376,n2943,150,car
t202,n1443,n1187,150,car
t203,n1336,n1422,151,car
t204,n1414,n1016,151,car
t205,n592,n3656,152,car
t206,n1870,n3635,152,car
t207,n362,n3433,153,car
t208,n3100,n1699,156,car
t209,n2963,n1513,156,car
t210,n1166,n871,157,car
t211,n1712,n1445,157,car
t212,n740,n1210,157,car
t213,n1448,n494,158,car
t214,n1832,n31,158,car
t215,n1394,n543,158,car
t216,n3261,n1723,159,car
t217,n561,n31,161,car
t218,n960,n1042,162,car
t219,n161,n1659,162,car
t220,n1508,n1617,163,car
t221,n1814,n2861,164,car
t222,n2272,n1892,165,car
t223,n2964,n587,166,car
t224,n1463,n2236,166,car
t225,n432,n66,167,car
t226,n1904,n3164,169,car
t227,n748,n2502,171,car
t228,n672,n1402,171,car
t229,n2249,n1096,172,car
t230,n697,n512,174,car
t231,n3686,n2381,174,car
t232,n3589,n3026,175,car
t233,n3529,n1787,176,car
t234,n3227,n2046,177,car
t235,n1069,n3702,178,car
t236,n881,n1265,182,car
t237,n1124,n3611,183,car
t238,n1455,n2489,183,car
t239,n1024,n3559,184,car
t240,n2438,n2928,185,car
t241,n1090,n968,187,car
t242,n205,n3095,187,car
t243,n2735,n2337,187,car
t244,n3385,n1886,188,car
t245,n287,n1327,188,car
t246,n2411,n1324,188,car
t247,n2255,n1066,189,car
t248,n1394,n1378,189,car
t249,n729,n2255,190,car
t250,n2439,n721,190,car
t251,n1400,n3404,191,car
t252,n611,n3697,191,car
t253,n3549,n1754,191,car
t254,n3593,n2142,193,car
t255,n1040,n997,193,car
t256,n3063,n877,194,car
t257,n607,n3068,194,car
t258,n2060,n1116,195,car
t259,n876,n1404,195,car
t260,n216,n2898,196,car
t261,n3413,n3326,196,car
t262,n3145,n2425,196,car
t263,n1223,n1053,198,car
t264,n1291,n1906,199,car
t265,n1113,n2592,199,car
t266,n912,n3240,201,car
t267,n3588,n2258,204,car
t268,n373,n2577,204,car
t269,n1237,n2216,205,car
t270,n1943,n390,206,car
t271,n26,n3208,206,car
t272,n1519,n3416,208,car
t273,n1714,n823,208,car
t274,n3663,n3591,208,car
t275,n2832,n3069,210,car
t276,n1525,n2592,210,car
t277,n1237,n1368,211,car
t278,n2203,n2537,211,car
t279,n382,n2331,212,car
t280,n1759,n290,214,car
t281,n106,n3699,215,car
t282,n2062,n2113,215,car
t283,n3264,n3115,215,car
t284,n3328,n3658,216,car
t285,n3186,n1707,217,car
t286,n2946,n304,218,car
t287,n2302,n2978,218,car
t288,n936,n2200,219,car
t289,n1226,n1441,219,car
t290,n2550,n1134,221,car
t291,n126,n921,222,car
t292,n1031,n1035,223,car
t293,n1552,n1011,225,car
t294,n3104,n1615,226,car
t295,n1141,n2961,227,car
t296,n1091,n2643,227,car
t297,n3024,n3173,229,car
t298,n2834,n2626,229,car
t299,n3401,n1686,229,car
t300,n680,n3438,229,car
t301,n1813,n171,230,car
t302,n1365,n1366,230,car
t303,n175,n3543,231,car
t304,n1408,n1160,232,car
t305,n2477,n325,232,car
t306,n2325,n2420,234,car
t307,n2913,n3431,235,car
t308,n2211,n16,235,car
t309,n2965,n1719,236,car
t310,n3325,n1101,236,car
t311,n2475,n2472,237,car
t312,n2041,n1205,237,car
t313,n1927,n3019,237,car
t314,n906,n2023,238,car
t315,n378,n88,238,car
t316,n197,n3228,240,car
t317,n12,n573,240,car
t318,n2343,n3314,240,car
t319,n2331,n2755,241,car
