trip_id,origin_node_id,destination_node_id,departure_time_s,mode,dest_source,purpose
t0,n10012,n3004,25200,car,gravity,HBW_AM
t1,n10046,n8359,25200,car,gravity,HBW_AM
t2,n10089,n20060,25200,car,gravity,HBW_AM
t3,n10117,n8528,25200,car,gravity,HBW_AM
t4,n10126,n4793,25200,car,gravity,HBW_AM
t5,n1015,n21653,25200,car,gravity,HBW_AM
t6,n10229,n33842,25200,car,gravity,HBW_AM
t7,n10246,n4328,25200,car,gravity,HBW_AM
t8,n10271,n22419,25200,car,gravity,HBW_AM
t9,n10279,n18825,25200,car,gravity,HBW_AM
t10,n10288,n30369,25200,car,gravity,HBW_AM
t11,n10378,n32498,25200,car,gravity,HBW_AM
t12,n10389,n23979,25200,car,gravity,HBW_AM
t13,n10473,n4981,25200,car,gravity,HBW_AM
t14,n10510,n28396,25200,car,gravity,HBW_AM
t15,n10575,n10350,25200,car,gravity,HBW_AM
t16,n10575,n20360,25200,car,gravity,HBW_AM
t17,n10593,n13148,25200,car,gravity,HBW_AM
t18,n10624,n18809,25200,car,gravity,HBW_AM
t19,n10669,n14490,25200,car,gravity,HBW_AM
t20,n10731,n11181,25200,car,gravity,HBW_AM
t21,n10848,n25193,25200,car,gravity,HBW_AM
t22,n10874,n16344,25200,car,gravity,HBW_AM
t23,n10874,n17640,25200,car,gravity,HBW_AM
t24,n10874,n9407,25200,car,gravity,HBW_AM
t25,n11044,n10616,25200,car,gravity,HBW_AM
t26,n11070,n21113,25200,car,gravity,HBW_AM
t27,n11070,n23259,25200,car,gravity,HBW_AM
t28,n11129,n10395,25200,car,gravity,HBW_AM
t29,n11129,n16435,25200,car,gravity,HBW_AM
t30,n11155,n8406,25200,car,gravity,HBW_AM
t31,n11454,n7444,25200,car,gravity,HBW_AM
t32,n11696,n15302,25200,car,gravity,HBW_AM
t33,n11729,n8318,25200,car,gravity,HBW_AM
t34,n11879,n24619,25200,car,gravity,HBW_AM
t35,n11879,n26346,25200,car,gravity,HBW_AM
t36,n11879,n30204,25200,car,gravity,HBW_AM
t37,n11879,n31195,25200,car,gravity,HBW_AM
t38,n11879,n8442,25200,car,gravity,HBW_AM
t39,n11895,n30979,25200,car,gravity,HBW_AM
t40,n11895,n8276,25200,car,gravity,HBW_AM
t41,n11920,n32813,25200,car,gravity,HBW_AM
t42,n11936,n21723,25200,car,gravity,HBW_AM
t43,n11936,n5428,25200,car,gravity,HBW_AM
t44,n11966,n28979,25200,car,gravity,HBW_AM
t45,n11991,n7970,25200,car,gravity,HBW_AM
t46,n11993,n3166,25200,car,gravity,HBW_AM
t47,n12017,n17118,25200,car,gravity,HBW_AM
t48,n12017,n27286,25200,car,gravity,HBW_AM
t49,n12023,n20570,25200,car,gravity,HBW_AM
t50,n12077,n5116,25200,car,gravity,HBW_AM
t51,n12078,n8877,25200,car,gravity,HBW_AM
t52,n12087,n2941,25200,car,gravity,HBW_AM
t53,n12088,n26212,25200,car,gravity,HBW_AM
t54,n12088,n4558,25200,car,gravity,HBW_AM
t55,n12092,n18110,25200,car,gravity,HBW_AM
t56,n12109,n22169,25200,car,gravity,HBW_AM
t57,n12111,n11128,25200,car,gravity,HBW_AM
t58,n12111,n4082,25200,car,gravity,HBW_AM
t59,n12111,n9644,25200,car,gravity,HBW_AM
t60,n12266,n28027,25200,car,gravity,HBW_AM
t61,n12331,n15648,25200,car,gravity,HBW_AM
t62,n12331,n24986,25200,car,gravity,HBW_AM
t63,n12331,n28250,25200,car,gravity,HBW_AM
t64,n12336,n10463,25200,car,gravity,HBW_AM
t65,n12353,n4226,25200,car,gravity,HBW_AM
t66,n12372,n6473,25200,car,gravity,HBW_AM
t67,n12389,n33459,25200,car,gravity,HBW_AM
t68,n12395,n33318,25200,car,gravity,HBW_AM
t69,n12404,n13889,25200,car,gravity,HBW_AM
t70,n12491,n24740,25200,car,gravity,HBW_AM
t71,n12556,n18784,25200,car,gravity,HBW_AM
t72,n12556,n21776,25200,car,gravity,HBW_AM
t73,n12556,n30801,25200,car,gravity,HBW_AM
t74,n12556,n33345,25200,car,gravity,HBW_AM
t75,n12556,n6404,25200,car,gravity,HBW_AM
t76,n12583,n18014,25200,car,gravity,HBW_AM
t77,n12583,n23053,25200,car,gravity,HBW_AM
t78,n12607,n29164,25200,car,gravity,HBW_AM
t79,n12778,n33441,25200,car,gravity,HBW_AM
t80,n12851,n150,25200,car,gravity,HBW_AM
t81,n12851,n15226,25200,car,gravity,HBW_AM
t82,n12851,n19336,25200,car,gravity,HBW_AM
t83,n12851,n4324,25200,car,gravity,HBW_AM
t84,n12851,n8521,25200,car,gravity,HBW_AM
t85,n12936,n27475,25200,car,gravity,HBW_AM
t86,n12949,n11517,25200,car,gravity,HBW_AM
t87,n12949,n12080,25200,car,gravity,HBW_AM
t88,n12953,n12169,25200,car,gravity,HBW_AM
t89,n12953,n14049,25200,car,gravity,HBW_AM
t90,n12953,n21178,25200,car,gravity,HBW_AM
t91,n12953,n32205,25200,car,gravity,HBW_AM
t92,n12954,n24437,25200,car,gravity,HBW_AM
t93,n12954,n9751,25200,car,gravity,HBW_AM
t94,n12966,n2391,25200,car,gravity,HBW_AM
t95,n12985,n23561,25200,car,gravity,HBW_AM
t96,n13043,n21760,25200,car,gravity,HBW_AM
t97,n13092,n3244,25200,car,gravity,HBW_AM
t98,n13346,n10496,25200,car,gravity,HBW_AM
t99,n13834,n10821,25200,car,gravity,HBW_AM
t100,n13897,n7412,25200,car,gravity,HBW_AM
t101,n13911,n31494,25200,car,gravity,HBW_AM
t102,n13926,n15473,25200,car,gravity,HBW_AM
t103,n13926,n3192,25200,car,gravity,HBW_AM
t104,n13944,n19232,25200,car,gravity,HBW_AM
t105,n13944,n24073,25200,car,gravity,HBW_AM
t106,n14021,n32971,25200,car,gravity,HBW_AM
t107,n14147,n15696,25200,car,gravity,HBW_AM
t108,n14168,n10319,25200,car,gravity,HBW_AM
t109,n14168,n23070,25200,car,gravity,HBW_AM
t110,n14257,n32777,25200,car,gravity,HBW_AM
t111,n14257,n8154,25200,car,gravity,HBW_AM
t112,n14341,n10375,25200,car,gravity,HBW_AM
t113,n14341,n18382,25200,car,gravity,HBW_AM
t114,n14341,n2532,25200,car,gravity,HBW_AM
t115,n14341,n2603,25200,car,gravity,HBW_AM
t116,n14341,n31839,25200,car,gravity,HBW_AM
t117,n14341,n9805,25200,car,gravity,HBW_AM
t118,n14398,n15232,25200,car,gravity,HBW_AM
t119,n14477,n11547,25200,car,gravity,HBW_AM
t120,n14489,n28086,25200,car,gravity,HBW_AM
t121,n14489,n8763,25200,car,gravity,HBW_AM
t122,n14515,n573,25200,car,gravity,HBW_AM
t123,n14529,n19108,25200,car,gravity,HBW_AM
t124,n14529,n27757,25200,car,gravity,HBW_AM
t125,n14529,n33310,25200,car,gravity,HBW_AM
t126,n14529,n3375,25200,car,gravity,HBW_AM
t127,n14639,n33130,25200,car,gravity,HBW_AM
t128,n14649,n32733,25200,car,gravity,HBW_AM
t129,n14661,n12799,25200,car,gravity,HBW_AM
t130,n14720,n15705,25200,car,gravity,HBW_AM
t131,n14828,n4547,25200,car,gravity,HBW_AM
t132,n14929,n8612,25200,car,gravity,HBW_AM
t133,n14983,n3493,25200,car,gravity,HBW_AM
t134,n14993,n2222,25200,car,gravity,HBW_AM
t135,n14993,n26562,25200,car,gravity,HBW_AM
t136,n15100,n22558,25200,car,gravity,HBW_AM
t137,n15100,n26588,25200,car,gravity,HBW_AM
t138,n15100,n27534,25200,car,gravity,HBW_AM
t139,n15100,n27654,25200,car,gravity,HBW_AM
t140,n15100,n31532,25200,car,gravity,HBW_AM
t141,n15100,n31859,25200,car,gravity,HBW_AM
t142,n15102,n2615,25200,car,gravity,HBW_AM
t143,n15161,n12417,25200,car,gravity,HBW_AM
t144,n15169,n11527,25200,car,gravity,HBW_AM
t145,n15169,n11972,25200,car,gravity,HBW_AM
t146,n15169,n12657,25200,car,gravity,HBW_AM
t147,n15169,n5587,25200,car,gravity,HBW_AM
t148,n15169,n7596,25200,car,gravity,HBW_AM
t149,n15183,n14803,25200,car,gravity,HBW_AM
t150,n15183,n2062,25200,car,gravity,HBW_AM
t151,n15183,n6691,25200,car,gravity,HBW_AM
t152,n15198,n22509,25200,car,gravity,HBW_AM
t153,n15211,n21129,25200,car,gravity,HBW_AM
t154,n15242,n3322,25200,car,gravity,HBW_AM
t155,n15376,n8172,25200,car,gravity,HBW_AM
t156,n15399,n415,25200,car,gravity,HBW_AM
t157,n15493,n1013,25200,car,gravity,HBW_AM
t158,n15508,n23212,25200,car,gravity,HBW_AM
t159,n15523,n13207,25200,car,gravity,HBW_AM
t160,n15523,n19536,25200,car,gravity,HBW_AM
t161,n15532,n18524,25200,car,gravity,HBW_AM
t162,n15532,n8574,25200,car,gravity,HBW_AM
t163,n15574,n11191,25200,car,gravity,HBW_AM
t164,n15593,n33648,25200,car,gravity,HBW_AM
t165,n15602,n11337,25200,car,gravity,HBW_AM
t166,n15611,n25580,25200,car,gravity,HBW_AM
t167,n15619,n13191,25200,car,gravity,HBW_AM
t168,n15628,n24258,25200,car,gravity,HBW_AM
t169,n15633,n23939,25200,car,gravity,HBW_AM
t170,n15633,n3795,25200,car,gravity,HBW_AM
t171,n15633,n5493,25200,car,gravity,HBW_AM
t172,n15634,n12270,25200,car,gravity,HBW_AM
t173,n15634,n22924,25200,car,gravity,HBW_AM
t174,n15634,n28298,25200,car,gravity,HBW_AM
t175,n15692,n6199,25200,car,gravity,HBW_AM
t176,n15739,n14381,25200,car,gravity,HBW_AM
t177,n15774,n33264,25200,car,gravity,HBW_AM
t178,n15795,n16472,25200,car,gravity,HBW_AM
t179,n15795,n17342,25200,car,gravity,HBW_AM
t180,n15795,n19150,25200,car,gravity,HBW_AM
t181,n15795,n31785,25200,car,gravity,HBW_AM
t182,n15795,n3263,25200,car,gravity,HBW_AM
t183,n15795,n3709,25200,car,gravity,HBW_AM
t184,n1584,n32520,25200,car,gravity,HBW_AM
t185,n15869,n7,25200,car,gravity,HBW_AM
t186,n15872,n5860,25200,car,gravity,HBW_AM
t187,n15875,n1942,25200,car,gravity,HBW_AM
t188,n15919,n16720,25200,car,gravity,HBW_AM
t189,n1593,n26504,25200,car,gravity,HBW_AM
