trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n1177,n7,0,car
t1,n1799,n1389,0,car
t2,n1721,n1683,0,car
t3,n888,n278,0,car
t4,n917,n544,0,car
t5,n204,n869,0,car
t6,n690,n664,0,car
t7,n1403,n351,0,car
t8,n1123,n1265,0,car
t9,n750,n579,0,car
t10,n1311,n118,0,car
t11,n347,n927,3,car
t12,n811,n367,8,car
t13,n662,n292,23,car
t14,n1468,n1787,23,car
t15,n1768,n95,30,car
t16,n1799,n1233,33,car
t17,n1599,n743,46,car
t18,n1610,n921,49,car
t19,n100,n1308,50,car
t20,n134,n1570,52,car
t21,n1624,n447,67,car
t22,n235,n80,68,car
t23,n388,n633,76,car
t24,n977,n1305,81,car
t25,n1797,n1157,82,car
t26,n710,n1377,86,car
t27,n168,n474,105,car
t28,n99,n152,106,car
t29,n114,n1009,116,car
t30,n1754,n1201,117,car
t31,n802,n635,121,car
t32,n1080,n154,127,car
t33,n795,n1535,132,car
t34,n662,n1567,133,car
t35,n810,n371,137,car
t36,n1177,n1621,152,car
t37,n10,n1115,163,car
t38,n215,n1242,170,car
t39,n559,n852,172,car
t40,n1474,n499,174,car
t41,n1288,n1240,177,car
t42,n1306,n1749,183,car
t43,n708,n812,183,car
t44,n510,n952,186,car
t45,n1768,n1603,188,car
t46,n199,n1129,190,car
t47,n656,n425,193,car
t48,n93,n407,201,car
t49,n263,n335,204,car
t50,n973,n120,204,car
t51,n1195,n166,207,car
t52,n224,n1406,230,car
t53,n254,n419,233,car
t54,n1886,n1693,235,car
t55,n154,n686,239,car
t56,n410,n115,242,car
t57,n1219,n612,242,car
t58,n203,n304,244,car
t59,n751,n85,246,car
t60,n286,n1856,246,car
t61,n476,n1244,247,car
t62,n679,n1158,247,car
t63,n662,n1377,248,car
t64,n350,n1142,255,car
t65,n1663,n1291,263,car
t66,n1148,n1457,265,car
t67,n1070,n1551,266,car
t68,n629,n8,276,car
t69,n1783,n1554,281,car
t70,n1165,n1699,283,car
t71,n261,n1815,284,car
t72,n669,n574,285,car
t73,n804,n1137,307,car
t74,n1165,n120,318,car
t75,n169,n1874,322,car
t76,n1806,n1041,327,car
t77,n394,n441,328,car
t78,n389,n172,331,car
t79,n686,n1683,334,car
t80,n22,n1818,340,car
t81,n1082,n1740,345,car
t82,n263,n1487,345,car
t83,n812,n153,349,car
t84,n427,n838,353,car
t85,n576,n469,353,car
t86,n1165,n620,354,car
t87,n308,n1388,358,car
t88,n1108,n904,365,car
t89,n1461,n494,368,car
t90,n1090,n1551,373,car
t91,n701,n1854,374,car
t92,n663,n1813,376,car
t93,n243,n396,380,car
t94,n1142,n1566,388,car
t95,n553,n354,390,car
t96,n810,n1424,395,car
t97,n286,n1888,403,car
t98,n389,n917,405,car
t99,n368,n145,405,car
t100,n254,n1861,406,car
t101,n1548,n497,409,car
t102,n1794,n193,410,car
t103,n162,n1679,410,car
t104,n110,n1772,419,car
t105,n254,n758,420,car
t106,n480,n1271,421,car
t107,n1571,n341,423,car
