trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n566,n115,0,car
t1,n500,n174,0,car
t2,n336,n870,1,car
t3,n805,n259,1,car
t4,n188,n903,2,car
t5,n198,n195,2,car
t6,n219,n311,2,car
t7,n696,n130,4,car
t8,n339,n266,5,car
t9,n177,n401,5,car
t10,n631,n746,6,car
t11,n331,n833,8,car
t12,n643,n349,11,car
t13,n363,n760,11,car
t14,n459,n661,12,car
t15,n4,n215,12,car
t16,n404,n492,13,car
t17,n866,n903,14,car
t18,n870,n873,15,car
t19,n854,n814,16,car
t20,n859,n400,18,car
t21,n457,n269,18,car
t22,n64,n920,20,car
t23,n513,n34,20,car
t24,n45,n40,21,car
t25,n333,n292,22,car
t26,n122,n287,23,car
t27,n534,n379,26,car
t28,n13,n394,26,car
t29,n919,n684,26,car
t30,n349,n731,28,car
t31,n865,n593,28,car
t32,n774,n280,28,car
t33,n815,n524,28,car
t34,n382,n643,28,car
t35,n358,n305,29,car
t36,n358,n435,29,car
t37,n280,n542,30,car
t38,n137,n771,30,car
t39,n373,n389,30,car
t40,n706,n130,31,car
t41,n72,n69,31,car
t42,n71,n366,32,car
t43,n868,n167,32,car
t44,n827,n455,34,car
t45,n644,n191,34,car
t46,n681,n149,35,car
t47,n876,n3,37,car
t48,n681,n428,37,car
t49,n779,n526,38,car
t50,n64,n778,38,car
t51,n737,n732,38,car
t52,n685,n357,39,car
t53,n560,n326,41,car
t54,n344,n324,42,car
t55,n366,n193,43,car
t56,n359,n363,43,car
t57,n488,n597,44,car
t58,n831,n788,45,car
t59,n265,n273,47,car
t60,n134,n342,47,car
t61,n30,n714,48,car
t62,n464,n475,49,car
t63,n791,n63,49,car
t64,n810,n768,50,car
t65,n513,n639,50,car
t66,n310,n46,50,car
t67,n265,n309,51,car
t68,n95,n175,53,car
t69,n440,n771,54,car
t70,n574,n161,54,car
t71,n302,n245,56,car
t72,n887,n111,56,car
t73,n304,n493,58,car
t74,n560,n701,58,car
t75,n2,n475,59,car
t76,n716,n701,60,car
t77,n223,n162,61,car
t78,n478,n23,61,car
t79,n899,n472,61,car
t80,n56,n549,64,car
t81,n695,n226,64,car
t82,n237,n702,65,car
t83,n921,n829,67,car
t84,n736,n744,68,car
t85,n625,n520,69,car
t86,n578,n519,69,car
t87,n731,n495,69,car
t88,n616,n600,70,car
t89,n623,n878,71,car
t90,n503,n220,74,car
t91,n46,n206,75,car
t92,n474,n473,76,car
t93,n793,n755,76,car
t94,n201,n279,78,car
t95,n197,n617,78,car
t96,n48,n235,78,car
t97,n334,n357,79,car
t98,n322,n232,80,car
t99,n549,n659,80,car
t100,n82,n717,81,car
t101,n644,n887,82,car
t102,n911,n241,83,car
t103,n24,n866,83,car
t104,n615,n514,84,car
t105,n398,n573,86,car
t106,n461,n521,88,car
t107,n685,n686,88,car
t108,n750,n146,89,car
t109,n535,n85,92,car
t110,n838,n736,92,car
t111,n595,n101,93,car
t112,n543,n490,93,car
t113,n286,n768,94,car
t114,n709,n812,94,car
t115,n288,n459,94,car
t116,n351,n705,94,car
t117,n284,n394,94,car
t118,n363,n136,95,car
t119,n178,n623,96,car
t120,n567,n576,96,car
t121,n394,n502,98,car
t122,n896,n146,99,car
t123,n187,n760,99,car
t124,n807,n79,100,car
t125,n257,n779,100,car
t126,n98,n40,101,car
t127,n729,n380,101,car
t128,n917,n282,101,car
t129,n118,n355,102,car
t130,n623,n86,103,car
t131,n133,n629,103,car
t132,n233,n470,104,car
t133,n189,n659,105,car
t134,n208,n707,105,car
t135,n239,n607,106,car
t136,n679,n690,106,car
t137,n573,n201,106,car
t138,n592,n242,106,car
t139,n532,n735,109,car
t140,n398,n656,110,car
t141,n440,n350,111,car
t142,n550,n727,112,car
t143,n152,n303,112,car
t144,n298,n504,112,car
t145,n908,n658,113,car
t146,n397,n108,115,car
t147,n103,n464,115,car
t148,n800,n113,116,car
t149,n522,n187,116,car
t150,n362,n331,117,car
t151,n118,n179,117,car
t152,n518,n159,117,car
t153,n141,n394,118,car
t154,n563,n598,119,car
t155,n366,n294,120,car
t156,n3,n607,121,car
t157,n674,n463,121,car
t158,n787,n626,121,car
t159,n462,n30,121,car
t160,n815,n52,122,car
t161,n715,n149,122,car
t162,n855,n882,123,car
t163,n865,n581,124,car
t164,n411,n366,125,car
t165,n555,n159,125,car
t166,n787,n622,126,car
t167,n414,n641,127,car
t168,n198,n726,128,car
t169,n901,n409,129,car
t170,n862,n565,129,car
t171,n765,n648,132,car
t172,n897,n199,133,car
t173,n721,n16,134,car
t174,n790,n821,135,car
t175,n876,n615,135,car
t176,n201,n418,135,car
t177,n132,n684,135,car
t178,n42,n277,138,car
t179,n456,n16,139,car
t180,n92,n361,139,car
t181,n14,n44,139,car
t182,n350,n551,139,car
t183,n629,n42,140,car
t184,n26,n110,140,car
t185,n288,n117,141,car
t186,n551,n715,141,car
t187,n371,n418,143,car
t188,n552,n634,144,car
t189,n909,n917,144,car
t190,n180,n288,145,car
t191,n530,n698,145,car
t192,n49,n828,146,car
t193,n859,n874,146,car
t194,n23,n29,146,car
t195,n376,n294,147,car
t196,n607,n921,147,car
t197,n398,n739,147,car
t198,n863,n691,148,car
t199,n721,n184,149,car
t200,n372,n568,150,car
t201,n220,n18,150,car
t202,n257,n863,150,car
t203,n652,n139,151,car
t204,n895,n894,151,car
t205,n273,n409,152,car
t206,n604,n79,152,car
t207,n582,n528,153,car
t208,n458,n384,156,car
t209,n541,n40,156,car
t210,n476,n394,157,car
t211,n783,n624,157,car
t212,n10,n328,157,car
t213,n42,n393,158,car
t214,n398,n647,158,car
t215,n297,n240,158,car
t216,n488,n239,159,car
t217,n490,n213,161,car
t218,n263,n563,162,car
t219,n401,n293,162,car
t220,n923,n369,163,car
t221,n858,n324,164,car
t222,n3,n243,165,car
t223,n755,n569,166,car
t224,n216,n828,166,car
t225,n733,n566,167,car
t226,n190,n726,169,car
t227,n493,n124,171,car
t228,n46,n45,171,car
t229,n717,n3,172,car
t230,n590,n190,174,car
t231,n326,n459,174,car
t232,n546,n622,175,car
t233,n534,n868,176,car
t234,n499,n83,177,car
t235,n788,n396,178,car
t236,n470,n114,182,car
t237,n193,n74,183,car
t238,n263,n71,183,car
t239,n197,n642,184,car
t240,n85,n96,185,car
t241,n274,n304,187,car
t242,n14,n205,187,car
t243,n212,n130,187,car
t244,n48,n895,188,car
t245,n334,n289,188,car
t246,n622,n876,188,car
t247,n837,n856,189,car
t248,n297,n526,189,car
t249,n43,n247,190,car
t250,n390,n85,190,car
t251,n496,n567,191,car
t252,n138,n855,191,car
t253,n345,n688,191,car
t254,n109,n312,193,car
t255,n250,n254,193,car
t256,n201,n405,194,car
t257,n729,n499,194,car
t258,n331,n191,195,car
t259,n301,n863,195,car
t260,n468,n508,196,car
t261,n712,n240,196,car
t262,n394,n387,196,car
t263,n659,n520,198,car
t264,n895,n675,199,car
t265,n265,n577,199,car
t266,n352,n317,201,car
t267,n438,n870,204,car
t268,n419,n627,204,car
t269,n889,n641,205,car
t270,n609,n326,206,car
t271,n299,n560,206,car
t272,n597,n237,208,car
t273,n474,n524,208,car
t274,n204,n667,208,car
t275,n19,n346,210,car
t276,n36,n314,210,car
t277,n889,n242,211,car
t278,n165,n611,211,car
t279,n264,n351,212,car
t280,n318,n691,214,car
t281,n207,n420,215,car
t282,n177,n281,215,car
t283,n811,n813,215,car
t284,n602,n1,216,car
t285,n701,n297,217,car
t286,n870,n808,218,car
t287,n153,n601,218,car
t288,n800,n25,219,car
t289,n762,n74,219,car
t290,n492,n924,221,car
t291,n858,n478,222,car
t292,n770,n4,223,car
t293,n804,n643,225,car
t294,n251,n26,226,car
t295,n84,n649,227,car
t296,n751,n546,227,car
t297,n911,n191,229,car
t298,n133,n237,229,car
t299,n519,n298,229,car
t300,n118,n798,229,car
t301,n588,n718,230,car
t302,n405,n274,230,car
t303,n517,n484,231,car
t304,n643,n640,232,car
t305,n625,n326,232,car
t306,n918,n611,234,car
t307,n762,n175,235,car
t308,n694,n571,235,car
t309,n420,n847,236,car
t310,n192,n491,236,car
t311,n158,n154,237,car
t312,n793,n676,237,car
t313,n864,n822,237,car
t314,n349,n346,238,car
t315,n704,n88,238,car
t316,n793,n135,240,car
t317,n107,n563,240,car
t318,n890,n228,240,car
t319,n311,n205,241,car
t320,n567,n63,241,car
t321,n667,n840,241,car
t322,n189,n749,241,car
t323,n910,n888,242,car
t324,n200,n73,243,car
t325,n530,n634,244,car
t326,n277,n748,244,car
t327,n130,n890,245,car
t328,n868,n569,245,car
t329,n889,n195,246,car
t330,n376,n375,248,car
t331,n427,n565,248,car
t332,n473,n843,249,car
t333,n75,n796,250,car
t334,n64,n351,250,car
t335,n686,n79,250,car
t336,n852,n500,251,car
t337,n921,n352,251,car
t338,n815,n482,253,car
t339,n619,n403,254,car
t340,n721,n328,255,car
t341,n255,n269,255,car
t342,n5,n138,256,car
t343,n657,n584,257,car
t344,n888,n807,258,car
t345,n35,n47,261,car
t346,n424,n648,262,car
t347,n650,n249,263,car
t348,n14,n375,264,car
t349,n880,n541,264,car
t350,n401,n623,266,car
t351,n274,n75,266,car
t352,n221,n578,266,car
t353,n516,n920,266,car
t354,n424,n481,267,car
t355,n917,n659,267,car
t356,n237,n527,268,car
t357,n772,n121,269,car
t358,n553,n464,269,car
t359,n462,n473,269,car
t360,n407,n898,269,car
t361,n864,n715,270,car
t362,n308,n331,270,car
t363,n208,n582,271,car
t364,n105,n595,272,car
t365,n297,n506,274,car
t366,n738,n94,274,car
t367,n827,n8,275,car
t368,n493,n432,275,car
t369,n390,n386,276,car
t370,n896,n333,276,car
t371,n492,n353,277,car
t372,n390,n848,277,car
t373,n286,n466,277,car
t374,n413,n628,278,car
t375,n874,n16,278,car
t376,n749,n595,279,car
t377,n449,n606,279,car
t378,n561,n518,280,car
t379,n875,n471,282,car
t380,n202,n564,283,car
t381,n927,n867,285,car
t382,n852,n740,285,car
t383,n511,n428,285,car
t384,n303,n415,286,car
t385,n15,n449,286,car
t386,n512,n791,287,car
t387,n437,n138,287,car
t388,n834,n727,287,car
t389,n149,n77,288,car
t390,n421,n583,288,car
t391,n409,n122,288,car
t392,n901,n394,288,car
t393,n885,n656,288,car
t394,n579,n801,292,car
t395,n58,n855,292,car
t396,n527,n45,293,car
t397,n909,n822,294,car
t398,n684,n297,295,car
t399,n491,n301,295,car
t400,n924,n871,295,car
t401,n438,n253,295,car
t402,n146,n551,296,car
t403,n847,n40,296,car
t404,n255,n347,296,car
t405,n686,n601,297,car
t406,n731,n112,297,car
t407,n649,n36,298,car
t408,n897,n747,298,car
t409,n865,n778,298,car
t410,n239,n703,299,car
t411,n566,n334,299,car
t412,n581,n427,299,car
t413,n580,n41,300,car
t414,n857,n774,302,car
t415,n112,n35,302,car
t416,n727,n708,302,car
t417,n257,n256,304,car
t418,n123,n120,305,car
t419,n620,n802,305,car
t420,n441,n164,305,car
t421,n312,n469,305,car
t422,n572,n301,305,car
t423,n323,n650,305,car
t424,n179,n540,306,car
t425,n365,n66,307,car
t426,n709,n565,308,car
t427,n816,n516,308,car
t428,n804,n417,308,car
t429,n913,n103,309,car
t430,n114,n263,310,car
t431,n279,n404,310,car
t432,n706,n237,311,car
t433,n152,n716,311,car
t434,n362,n796,311,car
t435,n544,n169,312,car
t436,n76,n134,316,car
t437,n14,n861,316,car
t438,n597,n704,317,car
t439,n815,n845,318,car
t440,n150,n879,320,car
t441,n498,n657,322,car
t442,n227,n262,323,car
t443,n925,n868,324,car
t444,n917,n472,324,car
t445,n224,n835,325,car
t446,n147,n504,327,car
t447,n546,n203,327,car
t448,n801,n507,327,car
t449,n571,n537,328,car
t450,n720,n592,328,car
t451,n354,n356,328,car
t452,n852,n180,330,car
t453,n87,n44,330,car
t454,n708,n650,330,car
t455,n146,n687,331,car
t456,n318,n684,331,car
t457,n327,n68,332,car
t458,n430,n553,332,car
t459,n281,n395,332,car
t460,n169,n381,332,car
t461,n666,n46,332,car
t462,n2,n335,333,car
t463,n69,n73,333,car
t464,n14,n180,334,car
t465,n795,n829,334,car
t466,n332,n76,335,car
t467,n398,n668,335,car
t468,n529,n409,336,car
t469,n819,n802,336,car
t470,n843,n385,336,car
t471,n519,n322,338,car
t472,n909,n856,338,car
t473,n498,n200,339,car
t474,n303,n804,341,car
t475,n251,n322,341,car
t476,n507,n817,342,car
t477,n608,n552,342,car
t478,n493,n549,342,car
t479,n616,n415,344,car
t480,n380,n582,346,car
t481,n597,n397,347,car
t482,n133,n201,348,car
t483,n285,n24,348,car
t484,n151,n193,348,car
t485,n871,n384,348,car
t486,n112,n122,349,car
t487,n411,n142,349,car
t488,n49,n86,352,car
t489,n280,n530,352,car
t490,n861,n814,353,car
t491,n809,n164,354,car
t492,n57,n466,354,car
t493,n783,n590,355,car
t494,n620,n917,355,car
t495,n506,n486,355,car
t496,n695,n212,355,car
t497,n65,n471,356,car
t498,n682,n688,357,car
t499,n627,n202,357,car
t500,n892,n644,358,car
t501,n795,n93,358,car
t502,n636,n547,358,car
t503,n128,n634,359,car
t504,n244,n326,359,car
t505,n23,n329,360,car
t506,n90,n811,361,car
t507,n364,n290,361,car
t508,n700,n314,361,car
t509,n491,n867,363,car
t510,n530,n418,363,car
t511,n843,n561,365,car
t512,n878,n755,366,car
t513,n440,n614,368,car
t514,n336,n13,368,car
t515,n857,n168,369,car
t516,n41,n737,370,car
t517,n244,n340,370,car
t518,n17,n460,372,car
t519,n851,n925,372,car
t520,n699,n51,372,car
t521,n98,n192,373,car
t522,n239,n819,373,car
t523,n677,n253,374,car
t524,n343,n221,374,car
t525,n829,n873,374,car
t526,n186,n488,377,car
t527,n563,n520,378,car
t528,n677,n241,379,car
t529,n549,n525,379,car
t530,n49,n218,379,car
t531,n117,n686,380,car
t532,n101,n495,380,car
t533,n882,n254,381,car
t534,n273,n72,382,car
t535,n258,n441,382,car
t536,n845,n803,383,car
t537,n362,n137,383,car
t538,n593,n513,385,car
t539,n344,n252,385,car
t540,n297,n158,385,car
t541,n813,n812,386,car
t542,n140,n835,386,car
t543,n494,n495,387,car
t544,n483,n481,387,car
t545,n282,n382,388,car
t546,n316,n635,388,car
t547,n479,n2,389,car
t548,n456,n69,389,car
t549,n673,n425,390,car
t550,n88,n322,390,car
t551,n838,n122,392,car
t552,n209,n687,393,car
t553,n634,n728,398,car
t554,n623,n133,399,car
t555,n428,n523,399,car
t556,n475,n494,402,car
t557,n253,n829,404,car
t558,n782,n621,404,car
t559,n245,n313,404,car
t560,n395,n549,406,car
t561,n741,n491,406,car
t562,n679,n442,407,car
t563,n248,n247,407,car
t564,n623,n40,407,car
t565,n694,n444,408,car
t566,n57,n112,408,car
t567,n117,n727,408,car
t568,n539,n533,410,car
t569,n114,n196,410,car
t570,n373,n371,410,car
t571,n910,n163,411,car
t572,n411,n156,412,car
t573,n237,n235,412,car
t574,n738,n532,414,car
t575,n548,n788,415,car
t576,n620,n421,415,car
t577,n735,n181,416,car
t578,n391,n552,416,car
t579,n341,n209,417,car
t580,n66,n120,419,car
t581,n387,n561,419,car
t582,n304,n659,422,car
t583,n176,n94,422,car
t584,n865,n891,422,car
t585,n808,n79,422,car
t586,n117,n296,423,car
t587,n726,n263,423,car
t588,n532,n847,424,car
t589,n628,n167,425,car
t590,n859,n737,425,car
t591,n147,n491,426,car
t592,n682,n37,426,car
t593,n130,n849,426,car
t594,n47,n83,427,car
t595,n531,n734,428,car
t596,n147,n324,428,car
t597,n500,n860,429,car
t598,n865,n879,429,car
t599,n12,n234,430,car
t600,n248,n659,430,car
t601,n345,n152,430,car
t602,n770,n40,432,car
t603,n207,n284,432,car
t604,n12,n862,433,car
t605,n313,n402,433,car
t606,n251,n20,434,car
t607,n804,n449,434,car
t608,n29,n37,434,car
t609,n889,n565,434,car
t610,n403,n419,434,car
t611,n824,n604,435,car
t612,n634,n390,435,car
t613,n532,n692,435,car
t614,n73,n509,435,car
t615,n52,n758,437,car
t616,n400,n433,438,car
t617,n602,n518,439,car
t618,n782,n835,440,car
t619,n626,n296,440,car
t620,n812,n537,443,car
t621,n450,n127,443,car
t622,n780,n520,443,car
t623,n45,n543,444,car
t624,n210,n352,444,car
t625,n305,n328,445,car
t626,n13,n98,445,car
t627,n184,n709,445,car
t628,n202,n31,445,car
t629,n531,n13,445,car
t630,n900,n7,445,car
t631,n402,n404,446,car
t632,n63,n94,446,car
t633,n614,n635,447,car
t634,n580,n727,447,car
t635,n151,n465,448,car
t636,n630,n231,449,car
t637,n736,n292,449,car
t638,n571,n739,450,car
t639,n546,n479,451,car
t640,n706,n430,453,car
t641,n419,n194,454,car
t642,n543,n830,456,car
t643,n643,n483,456,car
t644,n139,n320,458,car
t645,n185,n780,458,car
t646,n292,n570,458,car
t647,n137,n847,458,car
t648,n835,n190,458,car
t649,n85,n630,459,car
t650,n434,n755,460,car
t651,n188,n636,460,car
t652,n30,n176,461,car
t653,n680,n209,462,car
t654,n591,n25,462,car
t655,n564,n718,463,car
t656,n850,n521,464,car
t657,n188,n375,464,car
t658,n392,n600,465,car
t659,n150,n193,465,car
t660,n98,n86,466,car
t661,n71,n470,467,car
t662,n550,n525,467,car
t663,n580,n900,467,car
t664,n492,n302,468,car
t665,n168,n201,469,car
t666,n629,n200,469,car
t667,n863,n684,469,car
t668,n159,n747,470,car
t669,n814,n196,471,car
t670,n64,n347,471,car
t671,n42,n708,472,car
t672,n545,n75,472,car
t673,n673,n807,472,car
t674,n438,n910,472,car
t675,n882,n66,472,car
t676,n614,n242,472,car
t677,n408,n168,474,car
t678,n782,n377,474,car
t679,n349,n60,475,car
t680,n659,n924,475,car
t681,n71,n443,476,car
t682,n585,n701,477,car
t683,n875,n800,478,car
t684,n903,n909,479,car
t685,n852,n793,479,car
t686,n336,n420,482,car
t687,n667,n219,483,car
t688,n214,n876,484,car
t689,n393,n472,484,car
t690,n97,n214,484,car
t691,n167,n108,484,car
t692,n289,n190,484,car
t693,n269,n77,484,car
t694,n443,n262,485,car
t695,n859,n627,486,car
t696,n395,n390,487,car
t697,n640,n551,488,car
t698,n780,n899,488,car
t699,n368,n494,489,car
t700,n884,n60,491,car
t701,n545,n518,493,car
t702,n317,n762,494,car
t703,n503,n282,495,car
t704,n561,n520,497,car
t705,n68,n441,498,car
t706,n489,n547,498,car
t707,n794,n202,499,car
t708,n363,n73,499,car
t709,n282,n861,501,car
t710,n402,n420,501,car
t711,n137,n73,501,car
t712,n459,n238,502,car
t713,n229,n856,503,car
t714,n206,n671,506,car
t715,n324,n18,506,car
t716,n122,n708,508,car
t717,n14,n301,508,car
t718,n145,n112,509,car
t719,n834,n644,509,car
t720,n693,n67,509,car
