trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n160,n485,0,car
t1,n691,n815,0,car
t2,n1132,n677,1,car
t3,n1107,n336,1,car
t4,n1038,n565,2,car
t5,n1121,n542,2,car
t6,n772,n977,2,car
t7,n286,n1036,4,car
t8,n588,n790,5,car
t9,n423,n75,5,car
t10,n8,n1014,6,car
t11,n185,n79,8,car
t12,n1056,n901,11,car
t13,n1144,n436,11,car
t14,n610,n909,12,car
t15,n1026,n153,12,car
t16,n710,n332,13,car
t17,n166,n748,14,car
t18,n399,n34,15,car
t19,n388,n362,16,car
t20,n796,n128,18,car
t21,n747,n60,18,car
t22,n124,n748,20,car
t23,n848,n768,20,car
t24,n788,n796,21,car
t25,n482,n168,22,car
t26,n1104,n516,23,car
t27,n151,n669,26,car
t28,n504,n29,26,car
t29,n419,n476,26,car
t30,n423,n661,28,car
t31,n747,n63,28,car
t32,n1091,n252,28,car
t33,n984,n381,28,car
t34,n176,n929,28,car
t35,n233,n915,29,car
t36,n297,n362,29,car
t37,n94,n485,30,car
t38,n1097,n927,30,car
t39,n290,n1006,30,car
t40,n841,n1116,31,car
t41,n459,n460,31,car
t42,n171,n1115,32,car
t43,n391,n1061,32,car
t44,n354,n198,34,car
t45,n971,n1069,34,car
t46,n676,n787,35,car
t47,n838,n261,37,car
t48,n721,n643,37,car
t49,n1082,n972,38,car
t50,n124,n522,38,car
t51,n831,n139,38,car
t52,n817,n63,39,car
t53,n540,n257,41,car
t54,n923,n389,42,car
t55,n775,n800,43,car
t56,n881,n535,43,car
t57,n1109,n551,44,car
t58,n136,n660,45,car
t59,n421,n643,47,car
t60,n544,n38,47,car
t61,n541,n60,48,car
t62,n556,n147,49,car
t63,n977,n235,49,car
t64,n985,n956,50,car
t65,n848,n1069,50,car
t66,n852,n261,50,car
t67,n421,n819,51,car
t68,n501,n524,53,car
t69,n229,n808,54,car
t70,n27,n474,54,car
t71,n32,n416,56,car
t72,n386,n496,56,car
t73,n516,n687,58,car
t74,n540,n482,58,car
t75,n1003,n990,59,car
t76,n883,n16,60,car
t77,n509,n689,61,car
t78,n301,n487,61,car
t79,n322,n126,61,car
t80,n212,n64,64,car
t81,n1025,n40,64,car
t82,n604,n1035,65,car
t83,n384,n939,67,car
t84,n862,n1010,68,car
t85,n67,n1081,69,car
t86,n114,n100,69,car
t87,n939,n494,69,car
t88,n289,n589,70,car
t89,n218,n219,71,car
t90,n771,n190,74,car
t91,n1079,n781,75,car
t92,n138,n697,76,car
t93,n606,n619,76,car
t94,n1050,n127,78,car
t95,n668,n1065,78,car
t96,n332,n340,78,car
t97,n650,n289,79,car
t98,n827,n226,80,car
t99,n537,n768,80,car
t100,n1114,n118,81,car
t101,n971,n598,82,car
t102,n205,n1063,83,car
t103,n8,n997,83,car
t104,n803,n1105,84,car
t105,n86,n566,86,car
t106,n503,n60,88,car
t107,n452,n915,88,car
t108,n516,n700,89,car
t109,n384,n226,92,car
t110,n325,n1025,92,car
t111,n1021,n449,93,car
t112,n861,n62,93,car
t113,n1042,n532,94,car
t114,n816,n953,94,car
t115,n1103,n807,94,car
t116,n240,n527,94,car
t117,n720,n523,94,car
t118,n428,n591,95,car
t119,n443,n155,96,car
t120,n995,n470,96,car
t121,n305,n1106,98,car
t122,n219,n1091,99,car
t123,n456,n327,99,car
t124,n688,n993,100,car
t125,n1014,n415,100,car
t126,n1105,n717,101,car
t127,n866,n173,101,car
t128,n81,n497,101,car
t129,n829,n1008,102,car
t130,n274,n547,103,car
t131,n173,n370,103,car
t132,n1154,n875,104,car
t133,n79,n470,105,car
t134,n919,n1061,105,car
t135,n986,n1061,106,car
t136,n628,n828,106,car
t137,n812,n38,106,car
t138,n433,n1134,106,car
t139,n287,n241,109,car
t140,n86,n521,110,car
t141,n44,n1145,111,car
t142,n20,n63,112,car
t143,n608,n80,112,car
t144,n1049,n301,112,car
t145,n1046,n160,113,car
t146,n613,n1062,115,car
t147,n1051,n564,115,car
t148,n418,n757,116,car
t149,n810,n957,116,car
t150,n153,n912,117,car
t151,n663,n715,117,car
t152,n765,n635,117,car
t153,n100,n283,118,car
t154,n861,n550,119,car
t155,n775,n332,120,car
t156,n16,n1006,121,car
t157,n468,n98,121,car
t158,n535,n534,121,car
t159,n776,n367,121,car
t160,n158,n253,122,car
t161,n82,n1036,122,car
t162,n298,n1103,123,car
t163,n725,n726,124,car
t164,n466,n742,125,car
t165,n321,n448,125,car
t166,n535,n681,126,car
t167,n1103,n228,127,car
t168,n534,n734,128,car
t169,n856,n568,129,car
t170,n573,n91,129,car
t171,n981,n882,132,car
t172,n293,n1028,133,car
t173,n133,n986,134,car
t174,n1022,n670,135,car
t175,n689,n876,135,car
t176,n1050,n822,135,car
t177,n15,n1155,135,car
t178,n246,n378,138,car
