trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n671,n3086,0,car
t1,n341,n1422,0,car
t2,n201,n2861,0,car
t3,n1042,n3301,0,car
t4,n3888,n69,0,car
t5,n3895,n3725,0,car
t6,n1034,n2663,0,car
t7,n1867,n233,0,car
t8,n1332,n2983,0,car
t9,n2091,n771,0,car
t10,n1669,n1762,0,car
t11,n3111,n2402,1,car
t12,n1469,n770,1,car
t13,n277,n3778,1,car
t14,n3271,n3603,1,car
t15,n1605,n1677,1,car
t16,n2411,n3878,1,car
t17,n1248,n1569,1,car
t18,n1149,n2893,1,car
t19,n2157,n1257,1,car
t20,n519,n2442,2,car
t21,n1750,n2813,2,car
t22,n644,n1652,2,car
t23,n2809,n3238,2,car
t24,n1289,n1622,2,car
t25,n697,n1789,2,car
t26,n2261,n1367,2,car
t27,n2987,n2728,2,car
t28,n1299,n2959,2,car
t29,n705,n2020,2,car
t30,n1115,n885,2,car
t31,n477,n432,2,car
t32,n2129,n2888,2,car
t33,n2466,n2644,2,car
t34,n3344,n261,2,car
t35,n3639,n262,2,car
t36,n1566,n3662,3,car
t37,n3273,n637,3,car
t38,n2748,n2531,3,car
t39,n284,n3531,3,car
t40,n1433,n323,3,car
t41,n1617,n220,3,car
t42,n3129,n1686,3,car
t43,n669,n126,3,car
t44,n3058,n2478,3,car
t45,n2746,n1665,3,car
t46,n1646,n2797,3,car
t47,n1995,n1612,3,car
t48,n697,n2774,3,car
t49,n2050,n1535,3,car
t50,n3880,n3001,3,car
t51,n3951,n331,3,car
t52,n1485,n914,3,car
t53,n506,n869,3,car
t54,n1194,n1985,3,car
t55,n1878,n1369,4,car
t56,n1128,n2219,4,car
t57,n188,n2537,4,car
t58,n763,n1384,4,car
t59,n353,n3231,4,car
t60,n2212,n667,4,car
t61,n1192,n2439,4,car
t62,n1705,n3002,4,car
t63,n2361,n660,4,car
t64,n3581,n1247,4,car
t65,n2767,n2752,4,car
t66,n1952,n1612,4,car
t67,n385,n3645,4,car
t68,n238,n2385,4,car
t69,n3505,n908,5,car
t70,n951,n4002,5,car
t71,n2777,n302,5,car
t72,n1046,n673,5,car
t73,n2904,n2189,5,car
t74,n3924,n338,5,car
t75,n1684,n1341,5,car
t76,n2505,n1965,5,car
t77,n93,n3195,5,car
t78,n3910,n443,5,car
t79,n905,n2067,5,car
t80,n2857,n3337,5,car
t81,n364,n2545,5,car
t82,n1073,n1563,5,car
t83,n3437,n620,5,car
t84,n2537,n2617,5,car
t85,n3733,n2393,5,car
t86,n1872,n3503,6,car
t87,n3529,n1584,6,car
t88,n3740,n1391,6,car
t89,n348,n3173,6,car
t90,n1819,n2976,6,car
t91,n1581,n2927,6,car
t92,n2232,n3687,6,car
t93,n2335,n1246,6,car
t94,n2856,n1480,6,car
t95,n671,n1481,6,car
t96,n3195,n3859,6,car
t97,n3055,n2207,6,car
t98,n3186,n1534,7,car
t99,n1070,n1747,7,car
t100,n3845,n488,7,car
t101,n1712,n3281,7,car
t102,n250,n1717,7,car
t103,n1925,n532,7,car
t104,n2148,n2551,7,car
t105,n1948,n2359,7,car
t106,n3919,n1989,7,car
t107,n825,n2046,8,car
t108,n2235,n3146,8,car
t109,n1704,n278,8,car
t110,n2504,n591,8,car
t111,n560,n332,8,car
t112,n1667,n3394,8,car
t113,n614,n3771,8,car
t114,n787,n2264,8,car
t115,n2607,n2519,9,car
t116,n1443,n2398,9,car
t117,n1031,n1715,9,car
t118,n2429,n3405,9,car
t119,n3327,n2368,9,car
t120,n2000,n3425,9,car
t121,n2378,n348,9,car
t122,n3721,n1747,9,car
t123,n3127,n3989,9,car
t124,n3187,n1971,10,car
t125,n3420,n2959,10,car
t126,n2269,n1779,10,car
t127,n3659,n2808,10,car
t128,n2728,n1027,10,car
t129,n2678,n1408,10,car
t130,n1010,n352,10,car
t131,n3697,n3162,10,car
t132,n1064,n756,10,car
t133,n2658,n1779,10,car
t134,n3515,n1700,10,car
t135,n824,n3750,10,car
t136,n3955,n971,11,car
t137,n3575,n2352,11,car
t138,n1830,n894,11,car
t139,n3029,n726,11,car
t140,n1384,n1973,11,car
t141,n2100,n2380,11,car
t142,n3694,n1652,11,car
t143,n1614,n775,11,car
