trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n597,n709,2,car
t1,n24,n140,2,car
t2,n41,n24,4,car
t3,n372,n239,6,car
t4,n198,n237,8,car
t5,n1223,n351,12,car
t6,n291,n384,12,car
t7,n242,n107,18,car
t8,n85,n67,21,car
t9,n619,n222,23,car
t10,n213,n93,28,car
t11,n3,n303,28,car
t12,n699,n830,34,car
t13,n545,n280,34,car
t14,n507,n318,37,car
t15,n132,n330,41,car
t16,n785,n19,43,car
t17,n884,n77,50,car
t18,n653,n178,53,car
t19,n339,n960,61,car
t20,n244,n638,69,car
t21,n1172,n702,75,car
t22,n526,n1155,76,car
t23,n138,n4,88,car
t24,n1039,n1048,94,car
t25,n1202,n1231,95,car
t26,n200,n979,96,car
t27,n268,n266,101,car
t28,n289,n215,101,car
t29,n1031,n95,105,car
t30,n424,n686,105,car
t31,n25,n912,106,car
t32,n687,n331,110,car
t33,n665,n155,117,car
t34,n1164,n437,125,car
t35,n594,n395,129,car
t36,n579,n922,135,car
t37,n1054,n952,143,car
t38,n1027,n145,144,car
t39,n1190,n1138,145,car
t40,n152,n288,149,car
t41,n1108,n472,152,car
t42,n386,n314,153,car
t43,n79,n1000,156,car
t44,n357,n782,158,car
t45,n844,n1225,164,car
t46,n12,n225,169,car
t47,n254,n329,176,car
t48,n580,n1059,182,car
t49,n159,n862,188,car
t50,n641,n1084,196,car
t51,n46,n501,204,car
t52,n325,n338,205,car
t53,n258,n1013,208,car
t54,n970,n182,210,car
t55,n325,n767,211,car
t56,n615,n824,215,car
t57,n257,n507,218,car
t58,n412,n209,223,car
t59,n611,n1022,225,car
t60,n563,n738,227,car
t61,n561,n162,229,car
t62,n894,n803,229,car
t63,n318,n272,232,car
t64,n164,n615,236,car
t65,n265,n267,237,car
t66,n680,n15,241,car
t67,n740,n1060,244,car
t68,n268,n877,248,car
t69,n750,n541,248,car
t70,n1104,n467,262,car
t71,n524,n742,264,car
t72,n170,n733,264,car
t73,n786,n420,266,car
t74,n1104,n411,267,car
t75,n91,n530,268,car
t76,n835,n466,269,car
t77,n768,n762,270,car
t78,n599,n597,270,car
t79,n716,n449,276,car
t80,n286,n84,276,car
t81,n21,n1077,277,car
t82,n716,n948,277,car
t83,n357,n505,287,car
t84,n768,n793,288,car
t85,n330,n1014,296,car
t86,n402,n1096,305,car
t87,n293,n489,305,car
t88,n453,n941,308,car
