trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n844,n1051,28801,car
t1,n40,n925,28806,car
t2,n765,n898,28806,car
t3,n29,n258,28807,car
t4,n765,n176,28812,car
t5,n1005,n32,28815,car
t6,n848,n843,28818,car
t7,n1188,n1192,28824,car
t8,n967,n673,28825,car
t9,n963,n1142,28826,car
t10,n750,n358,28827,car
t11,n808,n734,28828,car
t12,n611,n269,28831,car
t13,n218,n90,28834,car
t14,n197,n420,28835,car
t15,n1039,n208,28854,car
t16,n560,n142,28859,car
t17,n345,n7,28865,car
t18,n375,n392,28867,car
t19,n162,n352,28869,car
t20,n1005,n136,28877,car
t21,n972,n765,28878,car
t22,n472,n974,28879,car
t23,n986,n923,28882,car
t24,n434,n86,28888,car
t25,n177,n471,28889,car
t26,n117,n64,28889,car
t27,n1078,n62,28890,car
t28,n543,n119,28895,car
t29,n721,n333,28902,car
t30,n771,n922,28906,car
t31,n503,n1075,28906,car
t32,n280,n661,28908,car
t33,n702,n946,28908,car
t34,n693,n947,28910,car
t35,n830,n755,28911,car
t36,n1164,n135,28913,car
t37,n950,n129,28915,car
t38,n726,n511,28920,car
t39,n718,n392,28926,car
t40,n248,n208,28927,car
t41,n278,n343,28928,car
t42,n953,n128,28945,car
t43,n237,n571,28948,car
t44,n491,n322,28950,car
t45,n1156,n220,28951,car
t46,n569,n612,28952,car
t47,n429,n444,28956,car
t48,n758,n613,28966,car
t49,n374,n266,28966,car
t50,n277,n972,28968,car
t51,n180,n130,28975,car
t52,n848,n275,28976,car
t53,n1092,n718,28978,car
t54,n195,n490,28981,car
t55,n148,n1033,28983,car
t56,n601,n1181,28993,car
t57,n775,n1064,29004,car
t58,n684,n694,29008,car
t59,n70,n324,29009,car
t60,n1094,n971,29012,car
t61,n574,n496,29016,car
t62,n61,n829,29020,car
t63,n290,n1195,29033,car
t64,n1183,n337,29039,car
t65,n352,n33,29042,car
t66,n1095,n186,29043,car
t67,n705,n1015,29043,car
t68,n617,n968,29044,car
t69,n1141,n198,29045,car
t70,n617,n250,29047,car
t71,n431,n285,29052,car
t72,n116,n864,29056,car
t73,n946,n1082,29058,car
t74,n273,n246,29062,car
t75,n66,n586,29065,car
t76,n1161,n1018,29069,car
t77,n872,n1100,29069,car
t78,n111,n98,29073,car
t79,n181,n1175,29074,car
t80,n293,n428,29074,car
t81,n395,n811,29075,car
t82,n598,n1141,29082,car
t83,n1053,n350,29084,car
t84,n64,n464,29085,car
t85,n72,n1109,29092,car
