trip_id,origin_node_id,destination_node_id,departure_time_s,mode
t0,n258,n659,25201,car
t1,n175,n1023,25202,car
t2,n152,n249,25205,car
t3,n895,n637,25209,car
t4,n894,n388,25210,car
t5,n356,n260,25214,car
t6,n1006,n376,25215,car
t7,n687,n836,25215,car
t8,n1009,n620,25215,car
t9,n23,n787,25217,car
t10,n1060,n770,25218,car
t11,n382,n205,25218,car
t12,n416,n252,25219,car
t13,n834,n132,25219,car
t14,n461,n349,25222,car
t15,n187,n865,25223,car
t16,n641,n802,25225,car
t17,n505,n506,25225,car
t18,n485,n875,25226,car
t19,n259,n368,25226,car
t20,n404,n218,25226,car
t21,n246,n48,25228,car
t22,n855,n705,25229,car
t23,n469,n20,25232,car
t24,n302,n413,25236,car
t25,n290,n781,25237,car
t26,n85,n193,25240,car
t27,n341,n918,25241,car
t28,n819,n728,25241,car
t29,n951,n913,25241,car
t30,n672,n904,25243,car
t31,n577,n248,25246,car
t32,n554,n998,25246,car
t33,n653,n591,25247,car
t34,n898,n327,25247,car
t35,n222,n744,25247,car
t36,n568,n885,25248,car
t37,n237,n58,25253,car
t38,n0,n480,25254,car
t39,n473,n580,25255,car
t40,n826,n829,25257,car
t41,n292,n253,25258,car
t42,n2,n771,25261,car
t43,n919,n147,25262,car
t44,n223,n669,25263,car
t45,n861,n815,25264,car
t46,n930,n564,25264,car
t47,n737,n511,25265,car
t48,n803,n1030,25265,car
t49,n571,n332,25267,car
t50,n810,n424,25268,car
t51,n983,n639,25268,car
t52,n985,n19,25271,car
t53,n567,n854,25271,car
t54,n175,n470,25273,car
t55,n720,n1023,25274,car
t56,n285,n304,25275,car
t57,n778,n51,25275,car
t58,n651,n821,25280,car
t59,n652,n469,25281,car
t60,n64,n224,25282,car
t61,n548,n531,25283,car
t62,n786,n782,25284,car
t63,n271,n858,25286,car
t64,n450,n1046,25287,car
t65,n694,n507,25288,car
t66,n152,n499,25288,car
t67,n142,n144,25290,car
t68,n658,n7,25291,car
t69,n47,n123,25295,car
t70,n459,n457,25295,car
t71,n896,n967,25296,car
t72,n912,n304,25296,car
t73,n869,n448,25303,car
t74,n747,n695,25305,car
t75,n789,n571,25306,car
t76,n312,n827,25309,car
t77,n640,n606,25309,car
t78,n982,n561,25311,car
t79,n296,n62,25311,car
t80,n908,n844,25315,car
t81,n254,n934,25318,car
t82,n353,n292,25318,car
t83,n941,n159,25318,car
t84,n114,n257,25319,car
t85,n724,n723,25321,car
t86,n88,n1051,25326,car
t87,n339,n498,25326,car
t88,n682,n422,25327,car
t89,n778,n196,25334,car
t90,n320,n930,25334,car
t91,n359,n978,25336,car
t92,n1022,n33,25338,car
t93,n231,n18,25338,car
t94,n137,n519,25339,car
t95,n90,n838,25342,car
t96,n1016,n948,25343,car
t97,n282,n41,25345,car
t98,n709,n626,25346,car
t99,n1058,n956,25347,car
t100,n566,n345,25348,car
t101,n700,n274,25348,car
t102,n774,n691,25348,car
t103,n77,n860,25348,car
t104,n299,n1062,25353,car
t105,n246,n122,25358,car
t106,n978,n887,25358,car
t107,n967,n388,25358,car
t108,n502,n168,25359,car
t109,n306,n276,25362,car
t110,n161,n290,25362,car
t111,n949,n950,25363,car
t112,n784,n582,25365,car
t113,n51,n452,25366,car
t114,n931,n526,25366,car
t115,n84,n933,25370,car
t116,n210,n404,25371,car
t117,n231,n652,25371,car
t118,n834,n146,25373,car
t119,n585,n441,25374,car
t120,n1060,n1050,25377,car
t121,n258,n221,25379,car
t122,n467,n272,25381,car
t123,n611,n973,25381,car
t124,n199,n316,25382,car
t125,n1024,n173,25385,car
t126,n1061,n788,25386,car
t127,n646,n773,25390,car
t128,n1025,n650,25391,car
t129,n933,n905,25391,car
t130,n673,n582,25394,car
t131,n1023,n385,25398,car
t132,n663,n1015,25401,car
t133,n347,n945,25401,car
t134,n781,n82,25404,car
t135,n534,n1019,25406,car
t136,n142,n227,25408,car
t137,n309,n210,25409,car
t138,n368,n175,25409,car
t139,n159,n366,25410,car
t140,n951,n564,25411,car
t141,n968,n57,25413,car
t142,n388,n607,25413,car
t143,n400,n128,25414,car
t144,n360,n292,25414,car
t145,n980,n504,25415,car
t146,n840,n90,25416,car
t147,n404,n140,25417,car
t148,n702,n153,25419,car
t149,n350,n679,25420,car
t150,n774,n647,25423,car
t151,n400,n901,25423,car
t152,n597,n271,25423,car
t153,n824,n412,25424,car
t154,n924,n23,25424,car
t155,n976,n213,25427,car
t156,n277,n494,25427,car
t157,n492,n655,25428,car
t158,n527,n791,25428,car
t159,n895,n914,25432,car
t160,n73,n641,25434,car
t161,n357,n354,25436,car
t162,n167,n725,25437,car
t163,n692,n410,25437,car
t164,n813,n453,25438,car
t165,n2,n188,25442,car
t166,n692,n656,25444,car
t167,n616,n226,25444,car
t168,n828,n973,25445,car
t169,n154,n37,25446,car
t170,n523,n382,25448,car
t171,n1009,n651,25448,car
t172,n591,n531,25452,car
t173,n567,n689,25454,car
t174,n438,n600,25455,car
t175,n580,n985,25457,car
t176,n46,n322,25457,car
t177,n687,n348,25457,car
t178,n273,n119,25461,car
t179,n918,n112,25463,car
t180,n437,n79,25464,car
t181,n116,n452,25468,car
t182,n36,n546,25468,car
t183,n115,n361,25470,car
t184,n650,n444,25471,car
t185,n577,n111,25474,car
t186,n66,n172,25477,car
t187,n902,n664,25478,car
t188,n449,n378,25479,car
t189,n429,n313,25480,car
t190,n125,n887,25482,car
t191,n829,n981,25485,car
t192,n772,n775,25486,car
t193,n1007,n471,25486,car
t194,n430,n185,25486,car
t195,n295,n404,25487,car
t196,n742,n182,25488,car
t197,n244,n492,25489,car
t198,n174,n609,25489,car
t199,n782,n283,25490,car
t200,n357,n153,25491,car
t201,n680,n626,25493,car
t202,n448,n449,25494,car
t203,n72,n616,25494,car
t204,n786,n290,25498,car
t205,n347,n561,25498,car
t206,n141,n138,25500,car
t207,n845,n847,25500,car
t208,n302,n911,25501,car
t209,n486,n1057,25501,car
t210,n679,n664,25501,car
t211,n47,n320,25502,car
t212,n32,n923,25502,car
t213,n56,n218,25507,car
t214,n295,n627,25507,car
t215,n629,n630,25507,car
t216,n281,n951,25513,car
t217,n916,n353,25514,car
t218,n820,n728,25514,car
t219,n1006,n403,25514,car
t220,n100,n63,25516,car
t221,n608,n133,25516,car
t222,n36,n956,25517,car
t223,n260,n795,25519,car
t224,n979,n677,25526,car
